Model,Year,Category,Rating,Displacement,Engine type,Power,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Top speed,Max RPM,Fuel system,Starter,Torque,Lubrication system,Front suspension,Rear suspension,Diameter,Dry weight,Power/weight ratio,Seat height,Overall length,Wheelbase,Color options,Ignition,Clutch,Exhaust system,Fuel consumption,Greenhouse gases,Frame type,Rake (fork angle),Front wheel travel,Rear wheel travel,Overall height,Overall width,Reserve fuel capacity,Oil capacity,Modifications compared to previous model,Instruments,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Sprockets,Belt teeth,Belt width,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front percentage of weight,Rear percentage of weight,Alternate seat height,Ground clearance,Comments,Trail,Coolant,Chain size,Chain links
Triumph Daytona 750,1992,Sport touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"In-line three, four-stroke",90.0 HP (65.7  kW)) @ 10500 RPM,11.0:1,76.0 x 55.0 mm (3.0 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,160/60-18 ,Dual disc,Single disc,260.0 kg (573.2 pounds),25.00 litres (6.61 US gallons),216.0 km/h (134.2 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Zephyr 550,1992,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 10000 RPM,9.5:1,58.0 x 52.4 mm (2.3 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),110/80-17 ,140/70-18 ,Dual disc,Single disc,200.0 kg (440.9 pounds),15.00 litres (3.96 US gallons),173.0 km/h (107.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZR 600 (reduced effect),1992,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,12.0:1,59.0 x 54.8 mm (2.3 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/70-17 ,130/70-18 ,Dual disc,Single disc,208.0 kg (458.6 pounds),18.00 litres (4.76 US gallons),180.0 km/h (111.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ETZ 125,1992,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 5800 RPM,10.0:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.25-16 ,Single disc,Expanding brake,122.0 kg (269.0 pounds),13.00 litres (3.43 US gallons),100.0 km/h (62.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 883 Hugger (reduced effect),1992,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,883.0 ccm (53.88 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)) @ 4800 RPM,9.0:1,76.2 x 96.8 mm (3.0 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,223.0 kg (491.6 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 600 F,1992,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",84.0 HP (61.3  kW)) @ 9500 RPM,11.6:1,65.0 x 45.2 mm (2.6 x 1.8 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/60-17 ,160/60-17 ,Double disc. Two-piston calipers. ,Single disc. Single-piston caliper. ,208.0 kg (458.6 pounds),16.00 litres (4.23 US gallons),230.0 km/h (142.9 mph),,Carburettor. 4 x 34mm Mikuni,,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 8500 RPM,Wet sump,41mm stepless preload and rebound adjustable,Pro link with 7 step preload and stepless rebound and compression adjustable damper with gas charged remote reservoir.,218 mm (8.6 inches),195.0 kg (429.9 pounds),0.4308 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",2150 mm (84.6 inches),1410 mm (55.5 inches),,Digital ,,,4.90 litres/100 km (20.4 km/l or 48.00 mpg),113.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Steel, Single cradle frame",,130 mm (5.1 inches),109 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Enduro 600 LC 4,1992,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",553.0 ccm (33.74 cubic inches),"Single cylinder, four-stroke",49.0 HP (35.8  kW)) @ 7000 RPM,10.0:1,95.0 x 78.0 mm (3.7 x 3.1 inches),4,Overhead Cams (OHC),Liquid,5-speed,Chain   (final drive),3.00-21 ,140/80-18 ,Single disc,Single disc,134.0 kg (295.4 pounds),15.00 litres (3.96 US gallons),162.0 km/h (100.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 250 (reduced effect),1992,Enduro / offroad," 2.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7800 RPM,11.0:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),11.00 litres (2.91 US gallons),115.0 km/h (71.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 750 R - RC 30  -  R-edition (reduced effect),1992,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 11000 RPM,11.0:1,70.0 x 48.6 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,170/60-18 ,Dual disc,Single disc,210.0 kg (463.0 pounds),18.00 litres (4.76 US gallons),234.0 km/h (145.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KR1-S,1992,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Twin, two-stroke",59.1 HP (43.2  kW)) @ 10500 RPM,,56.0 x 50.6 mm (2.2 x 2.0 inches),,Membrane,Liquid,6-speed,Chain   (final drive),110/70-VR17 ,140/60-VR18 ,Double disc,Single disc,,16.00 litres (4.23 US gallons),218.9 km/h (136.0 mph),,Carburettor,,40.2 Nm (4.1 kgf-m or 29.7 ft.lbs) @ 10500 RPM,,Telescopic fork,Swing arm (uni-trak),,131.0 kg (288.8 pounds),0.4514 HP/kg,"755 mm (29.7 inches) If adjustable, lowest setting.",2015 mm (79.3 inches),1365 mm (53.7 inches),"Red/black, green/white, black/green, blue/sliver",,,,,,Tubular diamond,24.0°,120 mm (4.7 inches),105 mm (4.1 inches),1365 mm (53.7 inches),695 mm (27.4 inches),2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,90 mm (3.5 inches),,,
Yamaha FZR 600 (reduced effect #2),1992,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,12.0:1,59.0 x 54.8 mm (2.3 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/70-17 ,130/70-18 ,Dual disc,Single disc,208.0 kg (458.6 pounds),18.00 litres (4.76 US gallons),139.0 km/h (86.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 RT,1992,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,120/90-18 ,Dual disc,Expanding brake,243.0 kg (535.7 pounds),22.00 litres (5.81 US gallons),163.0 km/h (101.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Springer Softail,1992,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MH 90-21 ,MT 90-16 ,Single disc,Single disc,292.0 kg (643.7 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXLR 1340 Low Rider Custom,1992,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MH 90-19 ,MT 90-16 ,Single disc,Single disc,280.0 kg (617.3 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trident 750,1992,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",748.0 ccm (45.64 cubic inches),"In-line three, four-stroke",90.0 HP (65.7  kW)) @ 10500 RPM,11.0:1,76.0 x 55.0 mm (3.0 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,160/60-18 ,Dual disc,Single disc,249.0 kg (549.0 pounds),25.00 litres (6.61 US gallons),204.0 km/h (126.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT 11 (with sidecar),1992,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",38.0 HP (27.7  kW)) @ 5900 RPM,8.5:1,78.0 x 68.0 mm (3.1 x 2.7 inches),2,Overhead Valves (OHV),Air,4-speed with reverse,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,350.0 kg (771.6 pounds),19.00 litres (5.02 US gallons),125.0 km/h (77.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1100 G,1992,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1127.0 ccm (68.77 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8000 RPM,10.0:1,78.0 x 59.0 mm (3.1 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),110/80-18 ,160/70-17 ,Dual disc,Single disc,287.0 kg (632.7 pounds),21.00 litres (5.55 US gallons),220.0 km/h (136.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera 600 Nordwest (reduced effect),1992,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,558.0 ccm (34.05 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6750 RPM,10.5:1,98.0 x 74.0 mm (3.9 x 2.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),120/70-17 ,160/60-17 ,Single disc,Single disc,173.0 kg (381.4 pounds),11.50 litres (3.04 US gallons),129.0 km/h (80.2 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trident 750 (reduced effect),1992,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,748.0 ccm (45.64 cubic inches),"In-line three, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,11.0:1,76.0 x 55.0 mm (3.0 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,160/60-18 ,Dual disc,Single disc,249.0 kg (549.0 pounds),25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VS 800 Intruder,1992,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6400 RPM,10.0:1,83.0 x 74.4 mm (3.3 x 2.9 inches),4,Overhead Cams (OHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),80/90-21 ,140/90-15 ,Single disc,Expanding brake,219.0 kg (482.8 pounds),12.00 litres (3.17 US gallons),154.0 km/h (95.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Elefant 900 i.e. GT,1992,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",73.0 HP (53.3  kW)) @ 8000 RPM,9.2:1,92.0 x 68.0 mm (3.6 x 2.7 inches),2,Desmodromic valve control,Air,6-speed,Chain   (final drive),100/90-19 ,140/80-17 ,Single disc,Single disc,232.0 kg (511.5 pounds),24.00 litres (6.34 US gallons),185.0 km/h (115.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN-15 SE,1992,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1470.0 ccm (89.70 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5000 RPM,9.0:1,102.0 x 90.0 mm (4.0 x 3.5 inches),4,Overhead Cams (OHC),Liquid,4-speed,Shaft drive (cardan)   (final drive),100/90-19 ,150/90-15 ,Single disc,Single disc,281.0 kg (619.5 pounds),12.00 litres (3.17 US gallons),178.0 km/h (110.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZXR 750,1992,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",121.0 HP (88.3  kW)) @ 10500 RPM,10.8:1,71.0 x 47.3 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,180/55-17 ,Double disc. Four-piston calipers. ,Single disc. Two-piston calipers. ,231.0 kg (509.3 pounds),18.00 litres (4.76 US gallons),241.0 km/h (149.8 mph),,"Carburettor. 4 x 38 mm Keihin CVKD, ram air",Electric,,Wet sump,"43mm Upside-down forks, adjustable ride height, 13-way rebound",Uni Track monoshock. adjustable ,230 mm (9.1 inches),225.0 kg (496.0 pounds),0.5378 HP/kg,,,1420 mm (55.9 inches),"Red, blue, green",Digital ,Multi plate wet hydraulic slipper clutch,,,,Aluminium perimeter,24.5°,120 mm (4.7 inches),120 mm (4.7 inches),,,,3.50 litres (3.7 US quarts),,,K-tech 10W-40,K & N  KN-204-1,DOT 4,YTX12-BS,"NGK, CR9E",1000  +/- 50  RPM,16/45 (front/rear),,,32 PSI (2.2 Bar or 220 kPa),36 PSI (2.5 Bar or 250 kPa),43 mm (1.7 inches),,,,,,,,95 mm (3.7 inches),3.00 litres (0.79 US gallons),530,110
Suzuki DR 650 R Dakar,1992,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",640.0 ccm (39.05 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 6800 RPM,9.7:1,95.0 x 90.4 mm (3.7 x 3.6 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,120/90-17 ,Single disc,Single disc,177.0 kg (390.2 pounds),17.00 litres (4.49 US gallons),158.0 km/h (98.2 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural M 67-6 (with sidecar),1992,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",38.0 HP (27.7  kW)) @ 5700 RPM,7.0:1,78.0 x 68.0 mm (3.1 x 2.7 inches),2,Overhead Valves (OHV),Air,4-speed with reverse,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,350.0 kg (771.6 pounds),19.00 litres (5.02 US gallons),125.0 km/h (77.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 500,1992,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6200 RPM,9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),14.00 litres (3.70 US gallons),134.0 km/h (83.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 75,1992,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",75.0 HP (54.7  kW)) @ 8500 RPM,11.0:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,130/90-17 ,Dual disc,Single disc,236.0 kg (520.3 pounds),21.00 litres (5.55 US gallons),194.0 km/h (120.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XRV 750 Africa Twin,1992,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",742.0 ccm (45.28 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 7500 RPM,9.0:1,81.0 x 72.0 mm (3.2 x 2.8 inches),3,Overhead Cams (OHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/90-17 ,Dual disc,Single disc,237.0 kg (522.5 pounds),24.00 litres (6.34 US gallons),170.0 km/h (105.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 650 R Dakar (reduced effect),1992,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",640.0 ccm (39.05 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6400 RPM,9.7:1,95.0 x 90.4 mm (3.7 x 3.6 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,120/90-17 ,Single disc,Single disc,177.0 kg (390.2 pounds),17.00 litres (4.49 US gallons),128.0 km/h (79.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GN 250 E,1992,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7800 RPM,9.0:1,72.0 x 61.2 mm (2.8 x 2.4 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,120/90-16 ,Single disc,Expanding brake,140.0 kg (308.6 pounds),10.00 litres (2.64 US gallons),122.0 km/h (75.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80,1992,Allround," 2.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,120/90-18 ,Single disc,Expanding brake,210.0 kg (463.0 pounds),22.00 litres (5.81 US gallons),177.0 km/h (110.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FJ 1200 A (ABS),1992,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1188.0 ccm (72.49 cubic inches),"In-line four, four-stroke",130.0 HP (94.9  kW)) @ 9000 RPM,9.7:1,77.0 x 63.8 mm (3.0 x 2.5 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/70-17 ,150/80-16 ,Dual disc,Single disc,280.0 kg (617.3 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 900 RR (reduced effect),1992,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",892.0 ccm (54.43 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 10000 RPM,11.0:1,70.0 x 58.0 mm (2.8 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),30/70-16 ,180/55-17 ,Dual disc,Single disc,206.0 kg (454.2 pounds),18.00 litres (4.76 US gallons),233.0 km/h (144.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 600 V Transalp,1992,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,9.2:1,75.0 x 66.0 mm (3.0 x 2.6 inches),3,Overhead Cams (OHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,205.0 kg (451.9 pounds),18.00 litres (4.76 US gallons),167.0 km/h (103.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZR 1000 (reduced effect),1992,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1002.0 ccm (61.14 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9500 RPM,12.0:1,75.5 x 56.0 mm (3.0 x 2.2 inches),5,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),130/60-17 ,170/60-17 ,Dual disc,Single disc,236.0 kg (520.3 pounds),19.00 litres (5.02 US gallons),234.0 km/h (145.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 250 EXC,1992,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",,6.0:1,,,,,,,,,,,,,,,,,,,Wp,Wp,,102.5 kg (226.0 pounds),,,,,,,,,,,,26.6°,,,,,,0.90 litres (0.95 US quarts),,,,,,,,,,,,,,,,,,,,,,114 mm (4.5 inches),,,
Yamaha FZR 600,1992,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",91.0 HP (66.4  kW)) @ 10500 RPM,12.0:1,59.0 x 54.8 mm (2.3 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/70-17 ,130/70-18 ,Dual disc,Single disc,208.0 kg (458.6 pounds),18.00 litres (4.76 US gallons),229.0 km/h (142.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ETZ 150,1992,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,143.0 ccm (8.73 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 6000 RPM,10.0:1,56.0 x 58.0 mm (2.2 x 2.3 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.25-16 ,Single disc,Expanding brake,125.0 kg (275.6 pounds),13.00 litres (3.43 US gallons),100.0 km/h (62.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NR 750,1992,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",125.0 HP (91.2  kW)) @ 14000 RPM,11.7:1,75.3 x 42.0 mm (3.0 x 1.7 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),130/70-16 ,180/55-17 ,Double disc,Single disc,234.0 kg (515.9 pounds),17.00 litres (4.49 US gallons),263.0 km/h (163.4 mph),,Injection,Electric,66.0 Nm (6.7 kgf-m or 48.7 ft.lbs) @ 11000 RPM,,Inverted telescopic fork,Pro-link,220 mm (8.7 inches),,,"785 mm (30.9 inches) If adjustable, lowest setting.",2150 mm (84.6 inches),1435 mm (56.5 inches),,,Multi plate wet,,,,,24.0°,120 mm (4.7 inches),120 mm (4.7 inches),1090 mm (42.9 inches),708 mm (27.9 inches),,,,,,,,,,,,,,,,,,,,,,,,88 mm (3.5 inches),,,
