Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Electrical,Comments,Lubrication system,Rake (fork angle),Wheels,"Weight incl. oil, gas, etc",Overall height,Carrying capacity,Engine details,Fuel consumption,Greenhouse gases,Alternate seat height,Oil capacity,Light,Exhaust system,Instruments,Factory warranty,Emission details,Seat,Oil filter,Brake fluid,Battery,Spark plugs,Belt teeth,Belt width,Pulley teeth,Fork tube size,Reserve fuel capacity,Max RPM,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Engine oil,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Modifications compared to previous model,Coolant
ZEV T-10,2016,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,13.4 HP (9.8  kW)),,125.5 km/h (78.0 mph),,,,,,,Air,Automatic,,,,Double frame,,Telescopic fork,,Twin shocks,,,,Double disc,260 mm (10.2 inches),Single disc,,,,,,,1540 mm (60.6 inches),,"Yellow, black, green, white, red",Electric,,10 kWh Lithium battery. Range 140 miles. ZEV is an abbreviation of Z Electric Vehicle. US brand.,,,,,,Large cargo rack. Optional large cargo box.,Electric hub motor in rear wheel,,,,,Dual front headlights,,Digital instrument panel,,,Rear section of the seat flips up and locks to form a back rest,,,,,,,,,,,,,,,,,,,,,
Sherco 250 ST,2016,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.7 ccm (15.24 cubic inches),"Single cylinder, two-stroke",,,,,72.8 x 60.0 mm (2.9 x 2.4 inches),,Carburettor. Dell´Orto PHBL26BS,,Digital Hidria,,5-speed,Chain   (final drive),Hydraulically activated multidisc in oil bath,,Tubular section chrome-moly,,Tech Ø 39 mm hydraulic telescopic fork,165 mm (6.5 inches),R16V. Progressive link system with single adjustable shock absorber,175 mm (6.9 inches),,,Single disc. Hydraulically activated Formula floating disc,145 mm (5.7 inches),Single disc. Hydraulically activated Formula floating disc,68.0 kg (149.9 pounds),,"685 mm (27.0 inches) If adjustable, lowest setting.",,,310 mm (12.2 inches),1322 mm (52.0 inches),2.40 litres (0.63 US gallons),Blue/yellow,Kick,,Spanish brand.,2% oil mixture,,"Morad graphit anodized aluminum rim and aluminum hub, steel spokes with Michelin tube-type tire",,,,Nikasil coated cylinder,,,,,,Steel header pipe with an integrated aluminum muffler,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan  900 Classic Special Edition,2016,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,903.0 ccm (55.10 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 5700 RPM,78.9 Nm (8.0 kgf-m or 58.2 ft.lbs) @ 3500 RPM,,9.5:1,88.0 x 74.2 mm (3.5 x 2.9 inches),4,Injection. 34 mm x 2 with dual throttles,Single Overhead Cams (SOHC),Digital,Liquid,5-speed,Belt   (final drive),,Kevlar-reinforced belt,"Double-cradle, steel",160 mm (6.3 inches),41mm hydraulic telescopic fork ,150 mm (5.9 inches),"Uni-Trak   swingarm, 7 way adjustable spring preload",100 mm (3.9 inches),130/90-16 ,180/70-15 ,Single disc. Hydraulic. Two-piston calipers. ,250 mm (9.8 inches),Single disc. Hydraulic. Two-piston calipers. ,,,"680 mm (26.8 inches) If adjustable, lowest setting.",2464 mm (97.0 inches),1006 mm (39.6 inches),135 mm (5.3 inches),1646 mm (64.8 inches),20.06 litres (5.30 US gallons),Metallic Matte Carbon Gray/Pearl flat Crystal White,Electric,,,,32.0°,Wire spoked wheels,282.0 kg (621.7 pounds),1064 mm (41.9 inches),,52° V-twin,,,,,,,,12 Month Limited Warranty,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Grizzly 350 2WD,2016,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",,,,9.2:1,83.0 x 64.5 mm (3.3 x 2.5 inches),2,Carburettor. Mikuni 33mm BSR,Single Overhead Cams (SOHC),DC-CDI,Oil & air,Automatic,Shaft drive (cardan)   (final drive),,"2WD. Ultramatic® V-belt with rear wheel engine braking, F/N/R.",,,Independent double wishbone,160 mm (6.3 inches),Swingarm,180 mm (7.1 inches),25/8-12 ,25/10-12 ,Double disc. Hydraulic. ,,Expanding brake (drum brake). Sealed,,,"828 mm (32.6 inches) If adjustable, lowest setting.",1984 mm (78.1 inches),1085 mm (42.7 inches),246 mm (9.7 inches),1232 mm (48.5 inches),13.50 litres (3.57 US gallons),"Green, Blue",Electric,Maintenance-free 12-amp-hour battery,Ackermann-type electronic power steering (EPS).,,,,244.9 kg (540.0 pounds),1120 mm (44.1 inches),Steel cargo racks front and rear.,,,,,3.10 litres (3.28 US quarts),Dual 30W Krypton multireflector headlights  and  21W/5W brakelight,,None,6 Month (Limited Factory Warranty),,,,,,,,,,,,,,,,,,,,,,,
ATK GV250,2016,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"V2, four-stroke",25.0 HP (18.2  kW)) @ 10000 RPM,22.0 Nm (2.2 kgf-m or 16.3 ft.lbs) @ 7500 RPM,,10.3:1,57.0 x 48.8 mm (2.2 x 1.9 inches),4,"Injection. EFI, optional Mikuni carburator",Double Overhead Cams/Twin Cam (DOHC),,Oil & air,5-speed,Chain   (final drive),Multi-disc in oil bath.,520 chain,Steel,,Conventional telescopic fork,, Swing arm with progressive linkage hydraulic dual shock absorber,,110/90-ZR16 ,150/80-ZR15 ,Double disc. 2 pistons calipers,300 mm (11.8 inches),Expanding brake (drum brake),149.7 kg (330.0 pounds),0.1670 HP/kg,"762 mm (30.0 inches) If adjustable, lowest setting.",2096 mm (82.5 inches),,196 mm (7.7 inches),1435 mm (56.5 inches),14.00 litres (3.70 US gallons),"Silver, black, silver/black, red/black, orange/black, white",Electric,,Sold in the US.,Wet sump,,"Cast aluminium, 5-spoke",,,,75° V-twin,3.36 litres/100 km (29.8 km/l or 70.01 mpg),78.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,12 months,,Dual seat,,,,,,,,,2.00 litres (0.53 US gallons),,,,,,,,,,,,
Honda NC750SA,2016,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",745.0 ccm (45.46 cubic inches),"Twin, four-stroke",54.0 HP (39.4  kW)) @ 6250 RPM,68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 4750 RPM,,10.7:1,77.0 x 80.0 mm (3.0 x 3.1 inches),4,Injection. PGM-FI electronic fuel injection,Single Overhead Cams (SOHC),Computer-controlled digital transistorised with electronic advance,Liquid,6-speed,Chain   (final drive),,,Steel diamond frame,110 mm (4.3 inches),41mm telescopic fork,107 mm (4.2 inches),"Monoshock damper, Pro-Link swingarm",120 mm (4.7 inches),120/70-ZR17 ,160/60-ZR17 ,Single disc. Hydraulic. Two-piston calipers. ABS.,240 mm (9.4 inches),Single disc. Hydraulic. Two-piston calipers. ABS.,,,"790 mm (31.1 inches) If adjustable, lowest setting.",2195 mm (86.4 inches),780 mm (30.7 inches),140 mm (5.5 inches),1525 mm (60.0 inches),14.10 litres (3.73 US gallons),"Red, black, silver, white",Electric,,,,,,216.0 kg (476.2 pounds),1130 mm (44.5 inches),"Optional 35L top box, optional 29L pannier kit",,3.46 litres/100 km (28.9 km/l or 67.98 mpg),80.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,3.70 litres (3.91 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha MT-09 Sport Tracker,2016,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",847.0 ccm (51.68 cubic inches),"In-line three, four-stroke",115.0 HP (83.9  kW)) @ 10000 RPM,87.5 Nm (8.9 kgf-m or 64.5 ft.lbs) @ 8900 RPM,,11.5:1,78.0 x 59.1 mm (3.1 x 2.3 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),TCI,Liquid,6-speed,Chain   (final drive),,,"Diamond, die-cast aluminium",103 mm (4.1 inches),Telescopic forks,137 mm (5.4 inches),"Swingarm, (Link type suspension)",130 mm (5.1 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc. Hydraulic. ABS.,245 mm (9.6 inches),Single disc. Hydraulic. ABS.,,,"850 mm (33.5 inches) If adjustable, lowest setting.",2075 mm (81.7 inches),942 mm (37.1 inches),135 mm (5.3 inches),1440 mm (56.7 inches),14.00 litres (3.70 US gallons),Matt black,Electric,,,Wet sump,25.0°,10-spoke alloy wheels,191.0 kg (421.1 pounds),1135 mm (44.7 inches),,,,,,3.40 litres (3.59 US quarts),Twin LED headlights,Akrapovic exhaust,,,,Flat two-tone black/brown seat,,,,,,,,,,,,,,,,,,,,,
KTM 1290 Super Adventure,2016,Allround," 4.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1301.0 ccm (79.39 cubic inches),"V2, four-stroke",160.0 HP (116.8  kW)),,,,108.0 x 75.0 mm (4.3 x 3.0 inches),,Injection,,"Keihin EMS with RBW and cruise control, double ignition",Liquid,6-speed,Chain   (final drive),"PASC  slipper clutch, hydraulically actuated",5/8  x  5/16 X Ring. Primary drive: 40:76.,"Chromium-Molybdenum steel trellis frame, powder coated",,WP Semi-active suspension USD Ø 48 mm,200 mm (7.9 inches),WP Semi-active suspension monoshock,200 mm (7.9 inches),,,Double disc. ABS. Four-piston calipers. Radially mounted. ,267 mm (10.5 inches),Single disc. ABS. Two-piston calipers. ,229.0 kg (504.9 pounds),0.6987 HP/kg,"860 mm (33.9 inches) If adjustable, lowest setting.",,,220 mm (8.7 inches),1560 mm (61.4 inches),30.00 litres (7.93 US gallons),Grey/silver,Electric,,Small windscreen. Ride-by-wire system. Switchable Bosch ABS.,Forced oil lubrication with 3 pumps,26.0°,,,,,75° V arrangement,,,"875 mm (34.4 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 85 SX 17-14,2016,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,84.9 ccm (5.18 cubic inches),"Single cylinder, two-stroke",,,,,47.0 x 49.0 mm (1.9 x 1.9 inches),,Carburettor,,AET digital,Liquid,6-speed,Chain   (final drive),"Wet, multi-disc clutch, Formula hydraulics",1/2  x  5/16 ,Central-tube frame with double-cradle,,WP upside-down Ø 43 mm,270 mm (10.6 inches),WP PDS shock absorber,300 mm (11.8 inches),,,Single disc. Four-piston calipers. ,210 mm (8.3 inches),Single disc. Two-piston calipers. ,67.5 kg (148.8 pounds),,"855 mm (33.7 inches) If adjustable, lowest setting.",,,352 mm (13.9 inches),1290 mm (50.8 inches),5.00 litres (1.32 US gallons),Orange/white/black,Kick,,Small wheel version of the KTM 85 SX.,Mixture oil lubrication,24.0°,,,,,Reed intake. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Ninja 300 ABS KRT,2016,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",296.0 ccm (18.06 cubic inches),"Twin, four-stroke",39.0 HP (28.5  kW)) @ 11000 RPM,27.0 Nm (2.8 kgf-m or 19.9 ft.lbs) @ 10000 RPM,,10.6:1,62.0 x 49.0 mm (2.4 x 1.9 inches),4,Injection. DFI with dual 32mm throttle bodies,Double Overhead Cams/Twin Cam (DOHC),TCBI with digital advance,Liquid,6-speed,Chain   (final drive),,,"Semi-double cradle, high-tensile steel",93 mm (3.7 inches),37mm hydraulic telescopic fork / 4.7 in.,120 mm (4.7 inches),Uni-Trak   with 5-way adjustable preload / 5.2 in.,132 mm (5.2 inches),110/70-17 ,140/70-17 ,Single disc. Hydraulic. Two-piston calipers. ABS.,220 mm (8.7 inches),Single disc. Hydraulic. Two-piston calipers. ABS.,,,"785 mm (30.9 inches) If adjustable, lowest setting.",2015 mm (79.3 inches),715 mm (28.1 inches),,1405 mm (55.3 inches),17.03 litres (4.50 US gallons),"Lime Green/Ebony
",Electric,,Traction control.,"Forced lubrication, wet sump",27.0°,,174.0 kg (383.7 pounds),1110 mm (43.7 inches),,,,,,,,,,12 months,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V7 II Stornello,2016,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 6200 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 2800 RPM,,,80.0 x 74.0 mm (3.1 x 2.9 inches),2,Injection. Weber-Marelli,,,Air,5-speed,Shaft drive (cardan)   (final drive),Dry single plate with flexible couplings,Compact Reactive Shaft Drive,Double cradle tubular frame in ALS steel with detachable rear subframe,,Telescopic hydraulic fork with 40 mm stanchions,130 mm (5.1 inches),Die cast light alloy swing arm with 2 spring preload adjustable shock absorbers,111 mm (4.4 inches),100/90-18 ,130/80-17 ,Single disc. ABS. Brembo caliper with 4 differentiated pistons,260 mm (10.2 inches),Single disc. ABS. Floating disc. Two-piston calipers. ,,,"790 mm (31.1 inches) If adjustable, lowest setting.",2184 mm (86.0 inches),800 mm (31.5 inches),179 mm (7.0 inches),1449 mm (57.0 inches),22.00 litres (5.81 US gallons),White/red,Electric,,Switchable ABS. Limited edition model.,Forced circulation with lobe pump - circuit capacity: 1.78 Kg,,Spoked polished aluminium rims,190.0 kg (418.9 pounds),1113 mm (43.8 inches),,Light alloy pushrods and rockers,,,,,,Three-way catalytic converter with double lambda probe,,Two-year manufacturer’s warranty and roadside assistance for one year,,,,,,,,,,,2.50 litres (0.66 US gallons),,,,,,,,,,,,
Hyosung GT125R,2016,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.5 ccm (7.60 cubic inches),"V2, four-stroke",,,,10.2:1,,,Injection,Double Overhead Cams/Twin Cam (DOHC),,Oil & air,5-speed,Chain   (final drive),"Wet, Multiplate",,Steel,,Telescopic fork,,Hydraulic Mono shock absorber,,110/70-17 ,150/70-17 ,Double disc,230 mm (9.1 inches),Single disc,120.0 kg (264.6 pounds),,"830 mm (32.7 inches) If adjustable, lowest setting.",2090 mm (82.3 inches),700 mm (27.6 inches),155 mm (6.1 inches),1435 mm (56.5 inches),17.00 litres (4.49 US gallons),"Black,  white/red, red/white",Electric,,,Wet sump,,,,1130 mm (44.5 inches),,,3.02 litres/100 km (33.1 km/l or 77.89 mpg),70.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLX250S,2016,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,,11.0:1,72.0 x 61.2 mm (2.8 x 2.4 inches),4,Carburettor. Keihin CVK34,Double Overhead Cams/Twin Cam (DOHC),Digital CDI,Liquid,6-speed,Chain   (final drive),,,"Semi-double cradle, high-tensile steel",105 mm (4.1 inches),Inverted Cartridge Fork with 16-Way Compression Damping Adjustment,,"Uni-Trak with Adjustable Preload, 16-Way Compression and Rebound Damping Adjustment",,80/100-21 ,100/100-18 ,Single disc. Petal disc,240 mm (9.4 inches),Single disc. Petal disc,,,"889 mm (35.0 inches) If adjustable, lowest setting.",2200 mm (86.6 inches),820 mm (32.3 inches),284 mm (11.2 inches),1430 mm (56.3 inches),7.57 litres (2.00 US gallons),Lime Green,,,,,26.5°,,134.0 kg (295.4 pounds),1204 mm (47.4 inches),,,,,,,,,,12 Months,,,,,,,,,,,,,,,,,,,,,,,
Qingqi QM250J-2L Police,2016,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",20.7 HP (15.1  kW)) @ 7500 RPM,19.5 Nm (2.0 kgf-m or 14.4 ft.lbs) @ 6000 RPM,105.0 km/h (65.2 mph),,,,,,,Air,,Chain   (final drive),Wet multiple plate,Clutch,,,Telescopic fork,,Twin shocks,,110/90-16 ,130/90-15 ,Single disc,,Expanding brake (drum brake),170.0 kg (374.8 pounds),0.1215 HP/kg,,2320 mm (91.3 inches),865 mm (34.1 inches),190 mm (7.5 inches),1440 mm (56.7 inches),22.00 litres (5.81 US gallons),Blue/white,Electric,,Made in China.,,,,,1355 mm (53.3 inches),Saddle bags. Top box.,,2.90 litres/100 km (34.5 km/l or 81.11 mpg),67.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobra CX50 FWE,2016,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,,,39.0 x 41.7 mm (1.5 x 1.6 inches),,Carburettor. 19 mm,Single Overhead Cams (SOHC),,Liquid,2-speed,Chain   (final drive),Cobra 4G x 3-Shoe,Patented Cobra Friction Drive,Twin Spar ,,USD 32 mm fork,,Piggyback Canister Shock,,2.50-10 ,2.75-10 ,Single disc. Hydraulic,140 mm (5.5 inches),Single disc. Hydraulic,41.0 kg (90.4 pounds),,"680 mm (26.8 inches) If adjustable, lowest setting.",,,245 mm (9.6 inches),990 mm (39.0 inches),,Yellow/red/black/white,Kick,,,Mixture lubrication,,One-Piece Aluminum Wheels,,,,Case Reed / V-Force® Reed Valve,,,,,,Tuned pipe and silencer,,,,,,,,,,,,,,,,,,,,,,,,,
Daelim Steezer S,2016,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",12.4 HP (9.0  kW)) @ 8000 RPM,10.9 Nm (1.1 kgf-m or 8.0 ft.lbs) @ 6500 RPM,,,,4,Injection,Single Overhead Cams (SOHC),,,Automatic,Belt   (final drive),,CVT Twist  and  Go,Under bone,,Telescopic,,Swing Arm. Twin shocks.,,120/70-14 ,130/60-14 ,Single disc,,Single disc,149.0 kg (328.5 pounds),0.0829 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",2078 mm (81.8 inches),755 mm (29.7 inches),,1382 mm (54.4 inches),9.60 litres (2.54 US gallons),Blue,Electric,,Windshield.,,,,,1304 mm (51.3 inches),,,,,,,,,,,Euro 3,,,,,,,,,,,,,,,,,,,,,,
Honda CRF125FB,2016,Cross / motocross," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.9 ccm (7.62 cubic inches),"Single cylinder, four-stroke",8.9 HP (6.5  kW)) @ 7500 RPM,10.2 Nm (1.0 kgf-m or 7.5 ft.lbs) @ 4500 RPM,,9.5:1,52.4 x 57.9 mm (2.1 x 2.3 inches),2,Carburettor. 20mm piston-valve carburetor,Single Overhead Cams (SOHC),CDI,Air,4-speed,Chain   (final drive),,13T/49T,Steel diamond backbone frame,90 mm (3.5 inches),31mm telescopic fork,133 mm (5.2 inches),Pro-Link single-shock,155 mm (6.1 inches),70/100-19 ,90/100-16 ,Single disc. Hydraulic. ,95 mm (3.7 inches),Expanding brake (drum brake),,,"785 mm (30.9 inches) If adjustable, lowest setting.",1869 mm (73.6 inches),740 mm (29.1 inches),265 mm (10.4 inches),1255 mm (49.4 inches),4.30 litres (1.14 US gallons),Red/white,Electric & kick,12V 3.5Ah battery,Model ID: CRF125FB.,,27.3°,,89.0 kg (196.2 pounds),1075 mm (42.3 inches),,,,,,,,,,Six Months transferable limited warranty,,,,,,,,,,,,,,,,,,,,,,,
Keeway TX 125 Enduro,2016,Enduro / offroad," 2.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.5 ccm (7.60 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 9000 RPM,9.4 Nm (1.0 kgf-m or 6.9 ft.lbs) @ 7500 RPM,,7.0:1,57.0 x 48.8 mm (2.2 x 1.9 inches),2,Carburettor,Single Overhead Cams (SOHC),TLI,Air,5-speed,Chain   (final drive),"Wet, multiple-plate",,Arch bar truck. ,,Telescopic forks,180 mm (7.1 inches),Swing arm,45 mm (1.8 inches),90/90-19 ,110/90-17 ,Single disc,240 mm (9.4 inches),Single disc,135.0 kg (297.6 pounds),0.0815 HP/kg,"825 mm (32.5 inches) If adjustable, lowest setting.",2090 mm (82.3 inches),,225 mm (8.9 inches),1340 mm (52.8 inches),10.50 litres (2.77 US gallons),Gray/white/red/gold,Electric,,"Keeway is the American and European brand name of Qianjiang, China.",Pressure splash lubrication,,Aluminium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Neos,2016,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",2.8 HP (2.0  kW)) @ 6750 RPM,3.0 Nm (0.3 kgf-m or 2.2 ft.lbs) @ 6500 RPM,,10.7:1,40.0 x 39.2 mm (1.6 x 1.5 inches),,Carburettor. Gurtner PY12,,,Air,Automatic,Belt   (final drive),,,,,Telescopic fork,70 mm (2.8 inches),Hydraulic unit swing,60 mm (2.4 inches),120/70-12 ,130/70-12 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),,,"790 mm (31.1 inches) If adjustable, lowest setting.",1840 mm (72.4 inches),663 mm (26.1 inches),146 mm (5.7 inches),1275 mm (50.2 inches),6.10 litres (1.61 US gallons),"White, brown, black",Electric & kick,,,,,Alloy wheels,88.0 kg (194.0 pounds),,Underseat helmet locker. Luggage hook.,,,,,,Twin headlights,,LCD instrument panel,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki J125 Special Edition,2016,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",13.8 HP (10.1  kW)) @ 9000 RPM,11.5 Nm (1.2 kgf-m or 8.5 ft.lbs) @ 7000 RPM,,11.0:1,54.0 x 54.5 mm (2.1 x 2.1 inches),4,Injection. 27 mm x 1,Single Overhead Cams (SOHC),ECU Control (Full transistor),Liquid,Automatic,Belt   (final drive),CVT with centrifugal clutch,,"Tubular diamond, steel",113 mm (4.4 inches),Telescopic fork,110 mm (4.3 inches),Twin shocks with 5-way adjustable preload,100 mm (3.9 inches),120/80-14 ,150/70-13 ,Single disc. Optional ABS.,240 mm (9.4 inches),Single disc. Optional ABS.,,,"775 mm (30.5 inches) If adjustable, lowest setting.",2235 mm (88.0 inches),775 mm (30.5 inches),145 mm (5.7 inches),1555 mm (61.2 inches),13.00 litres (3.43 US gallons),Metallic Flat Anthracite Black,Electric,,Windscreen. ABS adds 2 kg.,"Forced lubrication, wet sump",28.0°,,182.0 kg (401.2 pounds),1260 mm (49.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
