Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Ignition,Cooling system,Gearbox,Transmission type,Front suspension,Rear suspension,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Lubrication system,Clutch,Frame type,Compression,Valves per cylinder,Fuel system,Fuel control,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Seat height,Ground clearance,Color options,Comments,Top speed,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Exhaust system,Reserve fuel capacity,Driveline,Oil capacity,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Max RPM,Alternate seat height,Modifications compared to previous model,0-100 km/h (0-62 mph),Belt teeth,Belt width,Engine details,Front percentage of weight,Rear percentage of weight,Emission details,Pulley teeth,Wheels
Linhai 200 GY,2005,Trial," 2.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",196.9 ccm (12.01 cubic inches),"Single cylinder, four-stroke",18.5 HP (13.5  kW)) @ 9500 RPM,15.0 Nm (1.5 kgf-m or 11.1 ft.lbs) @ 7000 RPM,,C.D.I.,Air,,,"Leading axle shows a fork, upside",Shows single-shock,Single disc,Single disc,140.0 kg (308.6 pounds),0.1321 HP/kg,1180 mm (46.5 inches),2180 mm (85.8 inches),810 mm (31.9 inches),1390 mm (54.7 inches),32.17 litres (8.50 US gallons),Electric & kick,"Auto, multi-wet, hand",,,,,,,,,,,,,,350 mm (13.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamo Fury,2005,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",9.8 HP (7.2  kW)),,,,Air,,,Kymco Front Dual Shock,Rear Mono Shock,Single disc,Single disc,139.7 kg (308.0 pounds),0.0702 HP/kg,1118 mm (44.0 inches),2184 mm (86.0 inches),737 mm (29.0 inches),1549 mm (61.0 inches),7.57 litres (2.00 US gallons),Electric & kick,,,,,,Carburettor. Keihin,,,,130/60-13 ,130/60-13 ,,,"737 mm (29.0 inches) If adjustable, lowest setting.",,"Metallic Red, Charcoal, Black, Metallic Blue, Metallic Green, Pearl White",,104.6 km/h (65.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Royal Star Tour Deluxe,2005,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1294.0 ccm (78.96 cubic inches),"V4, four-stroke",,,79.0 x 66.0 mm (3.1 x 2.6 inches),Digital TCI,Liquid,5-speed,Shaft drive (cardan)   (final drive),Telescopic fork w/air assist,"Single shock, link-type w/air assist",Double disc,Single disc,357.0 kg (787.0 pounds),,1524 mm (60.0 inches),2504 mm (98.6 inches),1011 mm (39.8 inches),1715 mm (67.5 inches),5.30 litres (1.40 US gallons),,,,,10.0:1,,Carburettor.  (4) 32mm Mikuni Constant-Velocity,Double Overhead Cams/Twin Cam (DOHC),142 mm (5.6 inches),104 mm (4.1 inches),150/80-16 ,150/90-15 ,320 mm (12.6 inches),,"739 mm (29.1 inches) If adjustable, lowest setting.",,"Raspberry Metallic/Raven, Charcoal Silver/Raven",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veli ZQ 150-4,2005,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, two-stroke",10.7 HP (7.8  kW)) @ 9000 RPM,,,,Air,,,,,Single disc,Expanding brake (drum brake),135.0 kg (297.6 pounds),0.0794 HP/kg,1200 mm (47.2 inches),2100 mm (82.7 inches),820 mm (32.3 inches),1450 mm (57.1 inches),,Electric & kick,,,,,,,,,,,,,,,,Silver,Model also known as Veli Motor ZQ150-4.,95.0 km/h (59.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Yup,2005,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.5 ccm (3.02 cubic inches),"Single cylinder, two-stroke",5.1 HP (3.7  kW)) @ 7000 RPM,5.5 Nm (0.6 kgf-m or 4.1 ft.lbs) @ 6500 RPM,,,Air,,Shaft drive (cardan)   (final drive),,,Single disc,Expanding brake (drum brake),97.0 kg (213.8 pounds),0.0525 HP/kg,1125 mm (44.3 inches),1927 mm (75.9 inches),700 mm (27.6 inches),,,,,,,,,,,,,120/70-12 ,130/70-12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco 3.2,2005,Trial," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",317.0 ccm (19.34 cubic inches),"Single cylinder, four-stroke",,,82.0 x 60.0 mm (3.2 x 2.4 inches),,Liquid,5-speed,Chain   (final drive),Hydraulic telescopic fork Paioli 33 Ø.,Progressive link system with single Boge absorber.,Single disc,Single disc,73.0 kg (160.9 pounds),,,,,1332 mm (52.4 inches),3.10 litres (0.82 US gallons),,,,Deltabox type made in Chrome-molybdenum. Chromed finish,,,Carburettor,Single Overhead Cams (SOHC),170 mm (6.7 inches),175 mm (6.9 inches),,,145 mm (5.7 inches),,"635 mm (25.0 inches) If adjustable, lowest setting.",275 mm (10.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RX 50,2005,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",8.0 HP (5.8  kW)) @ 10000 RPM,,40.3 x 39.0 mm (1.6 x 1.5 inches),"Electronic, capacitor discharge",Liquid,6-speed,Chain   (final drive),"Upside down telescopic fork, Ø 35 mm inners.","Swing-arm in box section , with anti-friction bushings, adjustable monoshock with Aprilia Progressive System action.",Single disc,Single disc,90.0 kg (198.4 pounds),0.0889 HP/kg,,2060 mm (81.1 inches),880 mm (34.6 inches),1400 mm (55.1 inches),9.50 litres (2.51 US gallons),Kick,Separate mixing with variable displacement pump,Multiple disk in oil bath,"Closed cradle split at exhaust level, in high strength steel tubes",12.0:1,,Carburettor. Dell´Orto SHA 14/12 with mixture heating system in manifold,,250 mm (9.8 inches),260 mm (10.2 inches),90/90-21 ,110/80-18 ,220 mm (8.7 inches),107.0 kg (235.9 pounds),"940 mm (37.0 inches) If adjustable, lowest setting.",,"Aprilia black/lemon yellow, baltic blue/sky blue, matt black/hot red",,70.0 km/h (43.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ Mastiff,2005,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",37.0 HP (27.0  kW)) @ 6500 RPM,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5250 RPM,,,,,Chain   (final drive),Telescopic fork,Adjustable rear monoshock,Single disc,Single disc,175.0 kg (385.8 pounds),0.2114 HP/kg,,,,1465 mm (57.7 inches),12.50 litres (3.30 US gallons),,,,,,,,,,,120/60-17 ,150/60-17 ,,,"830 mm (32.7 inches) If adjustable, lowest setting.",,,,265.5 km/h (165.0 mph),,,,,,2.50 litres (0.66 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 50 Robby,2005,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",49.5 ccm (3.02 cubic inches),"Single cylinder, four-stroke",3.4 HP (2.4  kW)) @ 8500 RPM,3.2 Nm (0.3 kgf-m or 2.4 ft.lbs) @ 5500 RPM,,,Air,4-speed,,,,Single disc,Expanding brake (drum brake),80.0 kg (176.4 pounds),0.0419 HP/kg,,,,1200 mm (47.2 inches),6.50 litres (1.72 US gallons),Electric & kick,,,,,,,,,,2.5-16 ,3.00-16 ,124 mm (4.9 inches),,"730 mm (28.7 inches) If adjustable, lowest setting.",,,,45.0 km/h (28.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaguti Grizzly 10,2005,"Minibike, cross"," 3.5  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",,,,,Air,,Belt   (final drive),"Telescopic front fork with leading front spindle, upside down legs",Rear swinging arm with single-shock absorber,Single disc,Expanding brake (drum brake),,,,,,,,Kick,,,Steel,,,Carburettor. Dell’Orto SHA 14/12,,,,,,,,,,,For children.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamo Tracer,2005,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",9.8 HP (7.2  kW)),,,,Air,,,Kymco Front Dual Shock,Rear Mono Shock,Single disc,Single disc,109.8 kg (242.0 pounds),0.0893 HP/kg,1118 mm (44.0 inches),1930 mm (76.0 inches),711 mm (28.0 inches),1346 mm (53.0 inches),7.57 litres (2.00 US gallons),Electric & kick,,,,,,Carburettor. Keihin,,,,130/60-13 ,130/60-13 ,,,"737 mm (29.0 inches) If adjustable, lowest setting.",,"Red/Silver, Silver/Black, Yellow/Black, White/Black, Blue/Silver, Orange/Black/Silver",,104.6 km/h (65.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLX 300 R,2005,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",292.0 ccm (17.82 cubic inches),"Single cylinder, four-stroke",,,78.0 x 61.2 mm (3.1 x 2.4 inches),Digital CDI,Liquid,6-speed,Chain   (final drive),43mm inverted cartridge fork,UNI-TRAK® single shock system,Single disc. Hydraulic.,Single disc,106.0 kg (233.7 pounds),,1219 mm (48.0 inches),,909 mm (35.8 inches),1435 mm (56.5 inches),9.84 litres (2.60 US gallons),,,,"High-tensile steel, perimeter design",11.0:1,,Carburettor.  Keihin CVK34,Double Overhead Cams/Twin Cam (DOHC),,,80/90-21 ,100/80-18 ,,,"925 mm (36.4 inches) If adjustable, lowest setting.",320 mm (12.6 inches),Kawasaki Lime Green,,,,,26.5°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ 1000 SF,2005,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",999.0 ccm (60.96 cubic inches),"Twin, four-stroke",,,,,Liquid,,Chain   (final drive),,,Double disc,Single disc,,,,,,,20.00 litres (5.28 US gallons),Electric,,,Dual tube bridge frame,,,,,,,,,243 mm (9.6 inches),,,,,,,,,,,,5.00 litres (1.32 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Boulevard C50 Black,2005,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",819.4 ccm (50.00 cubic inches),"V2, four-stroke",,,83.0 x 74.4 mm (3.3 x 2.9 inches),,Liquid,5-speed,Shaft drive (cardan)   (final drive),"Telescopic, coil spring, oil damped","Link-type, oil damped, 7-way adjustable spring preload",Single disc,Single disc,246.0 kg (542.3 pounds),,1100 mm (43.3 inches),2510 mm (98.8 inches),985 mm (38.8 inches),1655 mm (65.2 inches),15.50 litres (4.10 US gallons),,,,,9.4:1,,Injection,Single Overhead Cams (SOHC),,,130/90-16 ,170/80-15 ,,,"700 mm (27.6 inches) If adjustable, lowest setting.",140 mm (5.5 inches),Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI Popcorn,2005,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",4.4 HP (3.2  kW)),,,,Air,,,,,,,,,1097 mm (43.2 inches),1830 mm (72.0 inches),653 mm (25.7 inches),,5.20 litres (1.37 US gallons),Electric & kick,,,,,,,,,,120/70-12 ,130/70-12 ,,,,,"Blue, grey",,,,,,,INOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Filly 50 LX,2005,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.5 ccm (3.02 cubic inches),"Single cylinder, four-stroke",3.6 HP (2.6  kW)) @ 7500 RPM,3.5 Nm (0.4 kgf-m or 2.6 ft.lbs) @ 6000 RPM,,,Air,,Shaft drive (cardan)   (final drive),,,Single disc,Expanding brake (drum brake),89.0 kg (196.2 pounds),0.0407 HP/kg,1035 mm (40.7 inches),1712 mm (67.4 inches),639 mm (25.2 inches),,,,,,,,,,,,,90/90-10 ,100/80-10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Intruder LC 250,2005,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"V2, four-stroke",24.1 HP (17.6  kW)) @ 8000 RPM,23.0 Nm (2.3 kgf-m or 17.0 ft.lbs) @ 6000 RPM,,,Air,5-speed,,,,,,143.0 kg (315.3 pounds),0.1687 HP/kg,,,,1520 mm (59.8 inches),12.00 litres (3.17 US gallons),,,,Semi-double cradle,,3,,Single Overhead Cams (SOHC),,,90/90-18 ,150/80-15 ,,,,,,Model for the Japanese marked.,,,,31.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borile B50 Cross Junior,2005,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,39.0 x 41.7 mm (1.5 x 1.6 inches),,Liquid,,,Adjustable hydraulic Marzocchi fork,Triple adjustment hydraulic Paioli monoshock,Single disc,Single disc,57.0 kg (125.7 pounds),,,,,1080 mm (42.5 inches),,,,Extra light manually adjustable,Steel-aluminium oval tubes,,,Carburettor. Dell’Orto PHBG 19 BS,,,,2.50-15 ,3.00-12 ,,,"730 mm (28.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJP PR4 125 Trial,2005,Trial," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",14.8 HP (10.8  kW)),,,,Air,5-speed,Chain   (final drive),Telescopic fork,Single shock-absorber of progresive action,Single disc,Single disc,98.0 kg (216.1 pounds),0.1505 HP/kg,,2135 mm (84.1 inches),,1410 mm (55.5 inches),9.00 litres (2.38 US gallons),Electric & kick,,,,,2,Carburettor,Overhead Cams (OHC),260 mm (10.2 inches),260 mm (10.2 inches),90/90-21 ,120/80-18 ,185 mm (7.3 inches),,"910 mm (35.8 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 85 SX (19-16),2005,"Minibike, cross"," 3.8  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",84.9 ccm (5.18 cubic inches),"Single cylinder, two-stroke",,,47.0 x 49.0 mm (1.9 x 1.9 inches),Moric digital 2M1,Liquid,,Chain   (final drive),WP USD,WP PDS monoshock,Single disc,Single disc,68.0 kg (149.9 pounds),,,,,1278 mm (50.3 inches),5.00 litres (1.32 US gallons),,,"Wet multi-disc clutch, operated hydraulically",Chromium molybdenum,,,Carburettor. Keihin PWK 28,,43 mm (1.7 inches),,,,216 mm (8.5 inches),,"900 mm (35.4 inches) If adjustable, lowest setting.",,,,,,,24.0°,81 mm (3.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victory Hammer,2005,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1638.8 ccm (100.00 cubic inches),"V2, four-stroke",,,101.0 x 102.0 mm (4.0 x 4.0 inches),,Oil & air,6-speed,Belt   (final drive),"Inverted cartridge telescopic fork, 43mm fork tube, 5.1in","Single, mono-tube gas, Forged and Cast Aluminum with rising rate linkage swing-arm. Preload adjustable spring",Single disc. Floating rotor with 4-piston caliper,Single disc. Floating rotor with 2-piston caliper,298.0 kg (657.0 pounds),,671 mm (26.4 inches),,,1669 mm (65.7 inches),17.03 litres (4.50 US gallons),Electric,,"Wet, multi-plate",,9.8:1,4,Injection.  Electronic Fuel Injection with 44mm throttle bodies,Single Overhead Cams (SOHC),130 mm (5.1 inches),100 mm (3.9 inches),130/70-R18 ,250/40-R18 ,300 mm (11.8 inches),,,147 mm (5.8 inches),"Solid Colors:  Black, Indy Red, Cosmic Sunburst, Flame Yellow.
Multiple Colors: Indy Red with Tribal Tattoo, Toxic Green with Tribal Tattoo.
",,,,,33.1°,,Large bore slash-cut dual exhaust with common volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 500 F,2005,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",487.0 ccm (29.72 cubic inches),"Twin, four-stroke",,,74.0 x 56.6 mm (2.9 x 2.2 inches),,Air,6-speed,Chain   (final drive),"Telescopic, oil damped","Link type, 5-way adjustable preload",Single disc,Single disc,180.0 kg (396.8 pounds),,1150 mm (45.3 inches),2080 mm (81.9 inches),800 mm (31.5 inches),1405 mm (55.3 inches),20.00 litres (5.28 US gallons),Electric,,,,9.0:1,,Carburettor,Double Overhead Cams/Twin Cam (DOHC),,,110/70-17 ,130/70-17 ,,,"790 mm (31.1 inches) If adjustable, lowest setting.",120 mm (4.7 inches),"Blue/White, Black/Silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roxon P-ONE 12-15,2005,"Minibike, cross"," 3.0  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",6.5 HP (4.7  kW)) @ 6000 RPM,,,,Air,Automatic,,,,Single disc,Expanding brake (drum brake),46.0 kg (101.4 pounds),0.1413 HP/kg,,1280 mm (50.4 inches),,,2.20 litres (0.58 US gallons),Kick,,,,,,Carburettor. Dell´Ortho SHA 14/12,,,,,,90 mm (3.5 inches),,"760 mm (29.9 inches) If adjustable, lowest setting.",,,Intended for children 6-12 years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaguti Phantom Max 125,2005,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,11.0 Nm (1.1 kgf-m or 8.1 ft.lbs) @ 7500 RPM,53.7 x 54.8 mm (2.1 x 2.2 inches),,,,Belt   (final drive),,,Single disc,Single disc,,,,,,,,,,,High resistance braced tubular steel frame,11.0:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha V Star Custom 650,2005,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",,,81.0 x 63.0 mm (3.2 x 2.5 inches),,Air,,Shaft drive (cardan)   (final drive),Telescopic fork,"Single shock, link-type, w/adjustable preload",Single disc,Expanding brake (drum brake),,,1105 mm (43.5 inches),2451 mm (96.5 inches),930 mm (36.6 inches),1626 mm (64.0 inches),15.89 litres (4.20 US gallons),,,,,9.0:1,,Carburettor,Single Overhead Cams (SOHC),140 mm (5.5 inches),99 mm (3.9 inches),130/90-16 ,170/80-15 ,200 mm (7.9 inches),,"709 mm (27.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco People,2005,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.5 ccm (3.02 cubic inches),"Single cylinder, two-stroke",5.1 HP (3.7  kW)) @ 7000 RPM,5.5 Nm (0.6 kgf-m or 4.1 ft.lbs) @ 6500 RPM,,,Air,,Shaft drive (cardan)   (final drive),,,Single disc,Expanding brake (drum brake),95.5 kg (210.5 pounds),0.0533 HP/kg,1075 mm (42.3 inches),1850 mm (72.8 inches),685 mm (27.0 inches),,,,,,,,,,,,,80/80-16 ,100/80-16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Boulevard M50,2005,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",819.4 ccm (50.00 cubic inches),"V2, four-stroke",,65.0 Nm (6.6 kgf-m or 47.9 ft.lbs) @ 5000 RPM,83.0 x 74.4 mm (3.3 x 2.9 inches),Electronic ,Liquid,5-speed,Shaft drive (cardan)   (final drive),"Inverted, telescopic, coil spring, oil damped","Link-type, oil damped, 7-way adjustable spring preload",Single disc. Two-piston calipers. ,Expanding brake (drum brake),245.0 kg (540.1 pounds),,1130 mm (44.5 inches),2370 mm (93.3 inches),860 mm (33.9 inches),1655 mm (65.2 inches),15.50 litres (4.10 US gallons),Electric,Wet sump,"Wet, multiple discs, cable operated","Soft-tail-style frame creates a continuous flowing line from the headlight, through the fuel tank, seat and rear fender",9.4:1,4,Injection,Single Overhead Cams (SOHC),,,130/90-16 ,170/80-15 ,300 mm (11.8 inches),269.0 kg (593.0 pounds),"700 mm (27.6 inches) If adjustable, lowest setting.",140 mm (5.5 inches),"Blue, Red",,,,,,,,,,3.40 litres (3.59 US quarts),SAE 10W-40,K & N - KN-138,DOT 4,2.00 litres (0.53 US gallons),YTX12-BS,"NGK DPR7EA-9, NGK DPR7EIX-9",1100  +/- 100  RPM,,,,29 PSI (2 Bar or 200 kPa),36 PSI (2.5 Bar or 250 kPa),41 mm (1.6 inches),,,,,,,,,,,,
Honda CMX 250 Rebel,2005,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",234.0 ccm (14.28 cubic inches),"Twin, four-stroke",,,53.0 x 53.0 mm (2.1 x 2.1 inches),CDI,Air,5-speed,Chain   (final drive),33mm fork,Dual shocks with five-position spring-preload adjustability,Single disc. 2-piston calipers,Expanding brake (drum brake),139.0 kg (306.4 pounds),,,,,1450 mm (57.1 inches),9.84 litres (2.60 US gallons),Electric,,,Front Suspension,9.2:1,,Carburettor.  Single 26mm diaphragm-type CV,Single Overhead Cams (SOHC),117 mm (4.6 inches),74 mm (2.9 inches),90/90-18 ,130/90-15 ,,,"676 mm (26.6 inches) If adjustable, lowest setting.",,"Black, Candy Orange",Model ID: CB250,,,,32.7°,161 mm (6.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
