Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Fuel system,Cooling system,Transmission type,Fuel consumption,Greenhouse gases,Emission details,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Wheelbase,Fuel capacity,Color options,Starter,Valves per cylinder,Fuel control,Ignition,Gearbox,Clutch,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Seat,"Weight incl. oil, gas, etc",Light,Carrying capacity,Factory warranty,Comments,Engine details,Exhaust system,Wheels,Alternate seat height,Driveline,Overall height,Overall width,Ground clearance,Electrical,Lubrication system,Instruments,Reserve fuel capacity,Oil capacity,Max RPM,Engine oil,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),Modifications compared to previous model,Service interval,"60-140 km/h (37-87 mph), highest gear",Oil filter,Belt teeth,1/4 mile (0.4 km)
Clipic Bamboo,2021,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,1.1 HP (0.8  kW)),,28.0 km/h (17.4 mph),,,,Air,Chain   (final drive),,,,2.25-10 ,2.25-10 ,Single disc,120 mm (4.7 inches),Expanding brake (drum brake),50.0 kg (110.2 pounds),0.0214 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",,950 mm (37.4 inches),,Grenn/grey/orange,Electric,,,,Automatic,,Tubular steel.,,,Telescopic fork,,Mechanical,,,,,,,Foldable bike. 48V lithium or lead removable battery. 35-40 km per charge.  1 hour charging time. Spanish brand.,,,,,,,580 mm (22.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,
Motomel XMM 250,2021,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,223.4 ccm (13.63 cubic inches),"Single cylinder, four-stroke",16.0 HP (11.7  kW)) @ 7000 RPM,,145.0 km/h (90.1 mph),9.3:1,65.5 x 66.6 mm (2.6 x 2.6 inches),Carburettor,Air,Chain   (final drive),,,,80/100-21 ,120/90-18 ,Single disc,,Single disc,146.0 kg (321.9 pounds),0.1096 HP/kg,,2100 mm (82.7 inches),,9.00 litres (2.38 US gallons),"Orange, white, black, blue",Electric & kick,,Single Overhead Cams (SOHC),,5-speed,,,,,Telescopic fork,,Mono shocks,,,,,,,Sold in South America.,,,,,,1116 mm (43.9 inches),840 mm (33.1 inches),,,,,0.80 litres (0.21 US gallons),,,,,,,,,,,,,,,,,,,,,
UM Renegade Commando 150,2021,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.4 ccm (9.12 cubic inches),"Single cylinder, four-stroke",16.6 HP (12.1  kW)) @ 8000 RPM,14.1 Nm (1.4 kgf-m or 10.4 ft.lbs) @ 5500 RPM,,9.0:1,62.0 x 57.5 mm (2.4 x 2.3 inches),Injection. Mikuni,Air,Chain   (final drive),,,,110/90-16 ,130/90-15 ,Single disc. Hydraulic. ,,Expanding brake (drum brake),127.0 kg (280.0 pounds),0.1303 HP/kg,"756 mm (29.8 inches) If adjustable, lowest setting.",2223 mm (87.5 inches),1518 mm (59.8 inches),17.41 litres (4.60 US gallons),"Black, Green, Silver",Electric & kick,,Overhead Cams (OHC),CDI,5-speed,,,,,Hydraulic Telescopic,110 mm (4.3 inches),"Hydraulic Telescopic, Gas - Spring Shockabsorber",65 mm (2.6 inches),,,,,,,,,,,,1050 mm (41.3 inches),883 mm (34.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki V-Strom 1050XA Adventure,2021,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1037.0 ccm (63.28 cubic inches),"V2, four-stroke",100.0 HP (73.0  kW)) @ 8000 RPM,103.0 Nm (10.5 kgf-m or 76.0 ft.lbs) @ 4000 RPM,,11.3:1,100.0 x 66.0 mm (3.9 x 2.6 inches),Injection,Liquid,Chain   (final drive),3.99 litres/100 km (25.1 km/l or 58.95 mpg),92.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,110/80-R19 ,150/70-R17 ,Double disc. Tokico 4-piston calipers. ABS.,260 mm (10.2 inches),"Single disc. Nissin, 2-piston. ABS.",,,"850 mm (33.5 inches) If adjustable, lowest setting.",2265 mm (89.2 inches),1555 mm (61.2 inches),20.00 litres (5.28 US gallons),"Red/white, black, yellow",Electric,4,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition (Transistorized),6-speed,Wet multiplate,Twin-spar aluminum,25.7°,109 mm (4.3 inches),"Inverted telescopic, coil spring, oil damped",,"Link type, single shock, coil spring, oil damped",,,249.0 kg (549.0 pounds),LED,Cargo rack or passenger seat,12 month unlimited mileage,Traction Control. Windscreen.,90-degree V-twin,Black Yoshimura Hepta Force silencer,"10-spoke, cast aluminum. Bridgestone Battlax Adventure A41 tires.",,"O-ring type, RK525SMOZ8, 116 links",1515 mm (59.6 inches),940 mm (37.0 inches),165 mm (6.5 inches),,Wet sump,Digital,,,,,,,,,,,,,,,,,,,,,,
Baotian Golden Fox,2021,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 8500 RPM,9.8 Nm (1.0 kgf-m or 7.2 ft.lbs) @ 7000 RPM,95.0 km/h (59.0 mph),9.2:1,,Carburettor,Air,Chain   (final drive),,,,2.75-17 ,90/90-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),100.0 kg (220.5 pounds),0.1100 HP/kg,,1960 mm (77.2 inches),1255 mm (49.4 inches),9.00 litres (2.38 US gallons),Blue/White/Red,Electric & kick,,,CDI,5-speed,Wet  multi-disc,,,,Telescopic fork,,Dual shock,,,,,,,Chinese brand.,,,,,,1220 mm (48.0 inches),770 mm (30.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TC 250,2021,Cross / motocross," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,,,,66.4 x 72.0 mm (2.6 x 2.8 inches),Carburettor. 38 mm flat slide MIKUNI TMX,Liquid,Chain   (final drive),,,,80/100-21 ,120/90-19 ,Single disc. Brembo twin-piston floating calliper,220 mm (8.7 inches),Single disc. Brembo single-piston floating calliper,96.0 kg (211.6 pounds),,"950 mm (37.4 inches) If adjustable, lowest setting.",,1495 mm (58.9 inches),8.00 litres (2.11 US gallons),White/blue/yellow,Kick,,,Kokusan EMS,5-speed,"Wet, multi-disc clutch, Magura hydraulics",Central double-cradle-type 25CrMo4 steel,26.1°,,"WP XACT-USD, Ø 48 mm",300 mm (11.8 inches),WP XACT Monoshock with linkage,300 mm (11.8 inches),,,,,,,Counter balancer shaft,,CNC-machined hubs. Black alloy rims by D.I.D. DUNLOP MX33 Motocross tyres.,,,,,375 mm (14.8 inches),,,,,0.90 litres (0.95 US quarts),,,,,,,,,,,,,,,,,,,,
KTM 50 SX Factory,2021,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,,,39.5 x 40.0 mm (1.6 x 1.6 inches),,,Chain   (final drive),,,,,,Single disc,160 mm (6.3 inches),Single disc,41.5 kg (91.5 pounds),,"665 mm (26.2 inches) If adjustable, lowest setting.",,,2.30 litres (0.61 US gallons),White/Orange/Blue/Red,Kick,,Double Overhead Cams/Twin Cam (DOHC),Seletra 2p D36 EMS,Automatic,Centrifugal,Central-tube frame with double-cradle,24.0°,,"XACT 35 WP Upside-Down fork, Ø 35 mm",205 mm (8.1 inches),XACT WP mono shock,185 mm (7.3 inches),,,,,,,,FMF silencer,Dunlop Geomax MX 53 tires,,,,,252 mm (9.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Genuine Scooter Hooligan 170i,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,168.9 ccm (10.31 cubic inches),"Single cylinder, four-stroke",,,96.6 km/h (60.0 mph),,,Injection. EFI,Air,Belt   (final drive),2.35 litres/100 km (42.6 km/l or 100.09 mpg),54.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,120/70-12 ,130/70-12 ,Single disc,,Single disc,126.1 kg (278.0 pounds),,"781 mm (30.7 inches) If adjustable, lowest setting.",1869 mm (73.6 inches),,,"Matte Black, Matte Titanium, White",Electric,,,,Automatic,Automatic,,,,Telescopic fork,,Monoshock,,,,,,"2-year, unlimited-mile",,,,,,,1156 mm (45.5 inches),,,12 Volt,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Road King Special,2021,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1868.0 ccm (113.99 cubic inches),"V2, four-stroke",100.0 HP (73.0  kW)) @ 5000 RPM,160.0 Nm (16.3 kgf-m or 118.0 ft.lbs) @ 3250 RPM,,10.5:1,102.0 x 114.3 mm (4.0 x 4.5 inches),Injection. Electronic Sequential Port Fuel Injection ,Air,Belt   (final drive),5.23 litres/100 km (19.1 km/l or 44.98 mpg),121.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,130/60-B19 ,180/55-B18 ,Double disc. ABS. 4-piston,,Single disc. ABS. 4-piston,351.1 kg (774.0 pounds),0.2848 HP/kg,"671 mm (26.4 inches) If adjustable, lowest setting.",2420 mm (95.3 inches),1625 mm (64.0 inches),22.71 litres (6.00 US gallons),"Vivid Black, Deadwood Green, Snake Venom Green, Black Jack Metallic",Electric,,Double Overhead Cams/Twin Cam (DOHC),,6-speed,Multi-plate with diaphragm spring in oil bath,,26.0°,175 mm (6.9 inches),Telescopic fork,,Twin shocks,,,366.1 kg (807.0 pounds),"High beam, running lights, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, battery, security system, low fuel warning, cruise control, ABS, Gear/RPM display, miles to empty display",Saddle bags,,Cruise control. Security system.,Milwaukee-Eight 114  ,,,,"Chain, 34/46 ratio primary drive",,,124 mm (4.9 inches),,Dry sump,"Display features odometer, trip A, trip B, range to empty and gear indicator; and larger tell-tale indicators.",,4.90 litres (5.18 US quarts),,,DOT 4,,YIX30L,"NGK CR9E, NGK CR9EIX",850  RPM,,,32/68 (front/rear),36 PSI (2.5 Bar or 250 kPa),41 PSI (2.8 Bar or 280 kPa),49 mm (1.9 inches),,,,,,140,
Tao Motor DB17,2021,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,6.5 Nm (0.7 kgf-m or 4.8 ft.lbs) @ 5000 RPM,,,,Carburettor,Air,Chain   (final drive),,,,70/100-17 ,90/100-14 ,Single disc,,Single disc,69.9 kg (154.0 pounds),,,1778 mm (70.0 inches),1250 mm (49.2 inches),,Black,Kick,,,,4-speed,,,,,Dual shock absorber,,Single shock absorber,,,,,,,"Chinese brand, sometimes called TaoTao. Bike sold in the US and Canada.",,,,,,1092 mm (43.0 inches),762 mm (30.0 inches),284 mm (11.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Sherco 300 SE Factory,2021,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",293.1 ccm (17.89 cubic inches),"Single cylinder, two-stroke",,,,,72.0 x 72.0 mm (2.8 x 2.8 inches),Carburettor. Keihin PWK 36,Liquid,Chain   (final drive),,,,1.60-21 ,2.15-18 ,Single disc. Brembo,220 mm (8.7 inches),Single disc. Brembo,,,"950 mm (37.4 inches) If adjustable, lowest setting.",,1465 mm (57.7 inches),10.40 litres (2.75 US gallons),White/Blue/Yellow,Electric,,,DC - CDI ignition with digital advance,6-speed,"Hydraulic, multidisc in oil bath",Chrome-Molybdenum steel semi-perimeter,,,KYB Fork Double closed cartridge with hydraulic setting and fork springs,300 mm (11.8 inches),KYB Shock Absorber With hydraulic setting and spring setting specific to each model 3-way adjustment,330 mm (13.0 inches),,,,,,Spanish brand.,,,Black Excel rim with Michelin Enduro Medium tires,,,,,355 mm (14.0 inches),Shido LTZ5S Lithium battery,,,,,,,,,,,,,,,,,,,1.2 kg lighter engine. Anti-vibration balancer.,,,,,
Ather 450X,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,8.1 HP (5.9  kW)),26.0 Nm (2.7 kgf-m or 19.2 ft.lbs),128.8 km/h (80.0 mph),,,,,,,,,,,,,,,,,,,,"White, Grey, Green",Electric,,,,,,Aluminum  Cast,,,,,Mono shocks,,,108.0 kg (238.1 pounds),,,3 on the battery,"Range 85km
0-80% (Home Charging)                       3hours 35minutes
0-100% (Home Charging)                      5hours 45minutes
 Fast-charging Rate (0-50% SOC)        1.5km/min
",PMSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 300 XC TPI,2021,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,293.2 ccm (17.89 cubic inches),"Single cylinder, two-stroke",,,,,72.0 x 72.0 mm (2.8 x 2.8 inches),Injection,Liquid,Chain   (final drive),,,,,,Single disc,220 mm (8.7 inches),Single disc,101.3 kg (223.3 pounds),,"950 mm (37.4 inches) If adjustable, lowest setting.",,1482 mm (58.3 inches),8.50 litres (2.25 US gallons),Orange/white/grey,Electric,,Single Overhead Cams (SOHC),Continental EMS,6-speed,"Wet, DDS multi-disc clutch, Brembo hydraulics",Central double-cradle-type 25CrMo4 steel,26.5°,,"WP XACT-USD, Ø 48 mm",300 mm (11.8 inches),WP XACT Monoshock with linkage,310 mm (12.2 inches),,,,,,,,,,,5/8 x 1/4´ chain,,,370 mm (14.6 inches),Lithium-ion battery,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha WR450FSP,2021,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,450.0 ccm (27.46 cubic inches),"Single cylinder, four-stroke",,,,13.0:1,97.0 x 60.8 mm (3.8 x 2.4 inches),Injection,Liquid,Chain   (final drive),,,,90/90-21 ,130/90-18 ,Single disc. Hydraulic. ,245 mm (9.6 inches),Single disc. Hydraulic. ,,,"955 mm (37.6 inches) If adjustable, lowest setting.",2175 mm (85.6 inches),1480 mm (58.3 inches),7.90 litres (2.09 US gallons),Aussie Edition Black,Electric,4,Double Overhead Cams/Twin Cam (DOHC),TCI,5-speed,,Bilateral beam,,,Telescopic forks,310 mm (12.2 inches),Single shock,318 mm (12.5 inches),,119.0 kg (262.4 pounds),,,,,,,,,,1270 mm (50.0 inches),825 mm (32.5 inches),320 mm (12.6 inches),,Wet Sump,,,,,,,,,,,,,,,,,,,,,,,
Indian Roadmaster Dark Horse,2021,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1901.0 ccm (116.00 cubic inches),"V2, four-stroke",92.0 HP (67.2  kW)),170.9 Nm (17.4 kgf-m or 126.0 ft.lbs) @ 2900 RPM,,11.0:1,103.2 x 113.0 mm (4.1 x 4.4 inches),"Injection. Closed loop fuel injection, 54 mm bore",Air,Belt   (final drive),,,,130/60-B19 ,180/60-R16 ,Double disc. ABS. Floating discs. 4 piston caliper.,300 mm (11.8 inches),Single disc. ABS. Floating disc. 2-piston caliper.,398.0 kg (877.4 pounds),0.2312 HP/kg,"673 mm (26.5 inches) If adjustable, lowest setting.",2693 mm (106.0 inches),1668 mm (65.7 inches),20.80 litres (5.50 US gallons),"Thunder Black Smoke, Bronze Smoke, White Smoke",Electric,,,,6-speed,"Wet, Multi-Plate, Assist. Gear Drive Wet Clutch.",Cast Aluminum Frame with Integrated Air-Box,25.0°,150 mm (5.9 inches),Telescopic fork ,119 mm (4.7 inches),Single shock with air adjust,114 mm (4.5 inches),Vinyl Rogue Seats,408.0 kg (899.5 pounds),Pathfinder LED Headlamp/Tail/Brake/Turn,"Remote-locking Hard Saddlebags, Trunk. 36.2 Gallons of Storage.","2 Years, Unlimited Miles","Navigation and Apple CarPlay® integration; Power Windshield;. Keyless Ignition; 200 Watt Audio System with AM/FM, Bluetooth, USB, Smartphone Compatible Input, and Weatherband; 12V Charging Port.",Thunder Stroke® 116,Split dual exhaust with cross-over,10-Spoke Contrast Cut wheels. Metzeler Cruisetec tires.,,,1491 mm (58.7 inches),1000 mm (39.4 inches),130 mm (5.1 inches),,,"Fairing mounted instrument cluster featuring analog speedometer and tachometer, with fuel gauge, range, odometer and current gear. ",,,,,,,,,,,,,,,,,,,,,,
Sinnis The Twist 50,2021,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.6 ccm (3.03 cubic inches),"Single cylinder, four-stroke",2.8 HP (2.1  kW)) @ 7500 RPM,,,,,Injection,Air,Belt   (final drive),,,,100/60-12 ,100/60-12 ,Single disc,,Expanding brake (drum brake),83.0 kg (183.0 pounds),0.0340 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",1780 mm (70.1 inches),1185 mm (46.7 inches),4.20 litres (1.11 US gallons),Grey,Electric,,,,Automatic,,,,,Telescopic Fork,,Coil Spring,,,,,,12 Months,,,,,,,1070 mm (42.1 inches),640 mm (25.2 inches),,,,Analogue,,,,,,,,,,,,,,,,,,,,,,
Yamaha TT-R110E,2021,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,110.0 ccm (6.71 cubic inches),"Single cylinder, four-stroke",,,,9.3:1,51.0 x 54.0 mm (2.0 x 2.1 inches),Carburettor. Mikuni® VM16,Air,Chain   (final drive),,,,2.50-14 ,3.00-12 ,Expanding brake (drum brake),110 mm (4.3 inches),Expanding brake (drum brake),,,"671 mm (26.4 inches) If adjustable, lowest setting.",1565 mm (61.6 inches),1080 mm (42.5 inches),3.79 litres (1.00 US gallons),Team Yamaha Blue,Electric & kick,2,Single Overhead Cams (SOHC),CDI,4-speed,"Auto-clutch. Multiplate, wet","Steel backbound, diamond-type-design",26.0°,61 mm (2.4 inches),"31mm Telescopic fork, coil spring/oil damper, ",114 mm (4.5 inches),"Swingarm (Monocross ), coil spring/gas-oil damper,",109 mm (4.3 inches),,72.1 kg (159.0 pounds),,,90 Day Limited Factory Warranty,,Automatic cam chain tensioner,USFS-approved spark arrestor,,,,922 mm (36.3 inches),681 mm (26.8 inches),180 mm (7.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Evolet Derby Classic,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,40.2 km/h (25.0 mph),,,,,,,,,90/100-10 ,90/100-10 ,Single disc. E-ABS,,Single disc,76.0 kg (167.6 pounds),,"800 mm (31.5 inches) If adjustable, lowest setting.",1930 mm (76.0 inches),,,"Brown, Blue",Electric,,,,,,,,,Hydraulic Telescopic,,Double shocker with dual tube technology,,,,,,"Battery Warranty	3 Year,s  Motor Warranty	18 Months","Range :120
Chargingtime :3-4 hr
",BLDC,,Alloy,,,,750 mm (29.5 inches),200 mm (7.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,
KSR TTX Electric,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,,,,,,,,120/70-12 ,120/70-12 ,Single disc,,Single disc,125.0 kg (275.6 pounds),,,,,,"White, Black",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic Cat Alterra 300,2021,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,270.0 ccm (16.48 cubic inches),"Single cylinder, four-stroke",,,,,72.7 x 65.2 mm (2.9 x 2.6 inches),Carburettor,Liquid,Shaft drive (cardan)   (final drive),,,,22/7-10 ,22/10-10 ,Single disc. Hydraulic. ,,Single disc. Hydraulic. ,216.4 kg (477.1 pounds),,,1869 mm (73.6 inches),1179 mm (46.4 inches),16.30 litres (4.31 US gallons),Earth Blue,Electric,4,Single Overhead Cams (SOHC),,Automatic,,,,,Dual A-Arm,127 mm (5.0 inches),Swing Arm,127 mm (5.0 inches),,,Dual Halogen Headlights,Front and rear racks,,,,,,,CVT,1118 mm (44.0 inches),1052 mm (41.4 inches),210 mm (8.3 inches),,,Digital,,,,,,,,,,,,,,,,,,,,,,
Senke SK 150X,2021,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",12.6 HP (9.2  kW)) @ 9000 RPM,11.0 Nm (1.1 kgf-m or 8.1 ft.lbs) @ 7000 RPM,95.0 km/h (59.0 mph),,62.0 x 49.5 mm (2.4 x 1.9 inches),Carburettor,Air,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,"780 mm (30.7 inches) If adjustable, lowest setting.",1970 mm (77.6 inches),1225 mm (48.2 inches),10.10 litres (2.67 US gallons),Black,,,,,,,,,,,,,,,98.0 kg (216.1 pounds),,,,Chinese made bike. ,,,,,,1075 mm (42.3 inches),895 mm (35.2 inches),120 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Zongshen RX3 Standard,2021,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.6 ccm (15.23 cubic inches),"Single cylinder, four-stroke",24.8 HP (18.1  kW)) @ 9000 RPM,22.5 Nm (2.3 kgf-m or 16.6 ft.lbs) @ 7000 RPM,,11.5:1,94.5 x 64.0 mm (3.7 x 2.5 inches),Injection. Delphi,Liquid,Chain   (final drive),,,,110/80-19 ,170/70-18 ,Single disc. ABS,,Single disc. ABS,,,"795 mm (31.3 inches) If adjustable, lowest setting.",2130 mm (83.9 inches),1425 mm (56.1 inches),16.00 litres (4.23 US gallons),"Blue, white, orange, red",Electric,4,,,6-speed,Wet plate,Steel,,,Standard hydraulic forks,,"Monoshock, non-adjustable",,,175.0 kg (385.8 pounds),LED headlight,"Saddle bags, top box",,Small windscreen. Chinese bike.,,,,,,1260 mm (49.6 inches),868 mm (34.2 inches),175 mm (6.9 inches),,,,,0.90 litres (0.95 US quarts),,,,,,,,,,,,,,,,,,,,
Moto Guzzi V7 Stone,2021,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",850.0 ccm (51.87 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 6800 RPM,73.0 Nm (7.4 kgf-m or 53.8 ft.lbs) @ 5000 RPM,,,84.0 x 77.0 mm (3.3 x 3.0 inches),Injection,Oil & air,Shaft drive (cardan)   (final drive),,,,100/90-18 ,150/70-17 ,Single disc. Brembo caliper with 4 differentiated pistons,260 mm (10.2 inches),Single disc. Floating disc. Two-piston calipers. ,,,"770 mm (30.3 inches) If adjustable, lowest setting.",2185 mm (86.0 inches),1463 mm (57.6 inches),21.00 litres (5.55 US gallons),"Nero Ruvido black, Azzurro Ghiaccio blue, Arancione Rame orange",Electric,,,,5-speed,Dry single plate with flexible couplings,Double cradle tubular frame in ALS steel with detachable rear subframe,,106 mm (4.2 inches),Kayba hydraulic fork with 40 mm stanchions,,Die cast light alloy swing arm with 2 spring preload adjustable shock absorbers,,Two-tier saddle,193.0 kg (425.5 pounds),LED headlight,,Two-year manufacturer’s warranty and roadside assistance for one year,,"90° V-twin, titanium intake",Three-way catalytic converter with double lambda probe,Cast aluminum,"803 mm (31.6 inches) If adjustable, highest setting.",CA.R.C. Compact Reactive Shaft Drive,1110 mm (43.7 inches),800 mm (31.5 inches),150 mm (5.9 inches),,,LCD panel,3.79 litres (1.00 US gallons),,,,,,,,,,,,,,,,,,,,,
Kawasaki KX65,2021,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,64.7 ccm (3.95 cubic inches),"Single cylinder, two-stroke",,,,8.4:1,44.5 x 41.6 mm (1.8 x 1.6 inches),Carburettor. Mikuni 24mm,Liquid,Chain   (final drive),,,,60/100-14 ,80/100-12 ,Single disc,180 mm (7.1 inches),Single disc,,,"759 mm (29.9 inches) If adjustable, lowest setting.",1590 mm (62.6 inches),1120 mm (44.1 inches),3.79 litres (1.00 US gallons),Lime Green,Kick,,,CDI with digital advance,6-speed,,"Tubular, semi-double cradle",27.0°,61 mm (2.4 inches),33mm leading axle telescopic fork with 4-way rebound damping,210 mm (8.3 inches),Rear Suspension / Wheel TravelUni-Trak® single shock system with 4-way rebound damping and fully adjustable spring preload,240 mm (9.4 inches),,60.0 kg (132.2 pounds),,,,,Reed valve,,,,,955 mm (37.6 inches),759 mm (29.9 inches),305 mm (12.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Beta RR 2T 300,2021,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,293.1 ccm (17.88 cubic inches),"Single cylinder, two-stroke",,,,11.9:1,72.0 x 72.0 mm (2.8 x 2.8 inches),Carburettor. Keihin PWK36,Liquid,,,,,90/90-21 ,140/80-18 ,Single disc,240 mm (9.4 inches),Single disc,103.5 kg (228.2 pounds),,"930 mm (36.6 inches) If adjustable, lowest setting.",2172 mm (85.5 inches),1482 mm (58.3 inches),9.50 litres (2.51 US gallons),Red/Black/White,Electric,,,AC Kokusan CDI,6-speed,,Molybdenum Stell with double cradle,,,Hydraulic Telescopic 48mm,290 mm (11.4 inches),Monoshock with progressive compound lever,300 mm (11.8 inches),,,,,,,,,,,,1270 mm (50.0 inches),815 mm (32.1 inches),320 mm (12.6 inches),,,,2.70 litres (0.71 US gallons),,,,,,,,,,,,,,,,,,,,,
