Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Overall width,Fuel capacity,Compression,Valves per cylinder,Fuel system,Fuel control,Cooling system,Front wheel travel,Rear wheel travel,Diameter,Overall height,Wheelbase,Reserve fuel capacity,Ground clearance,Color options,Rake (fork angle),Front suspension,Rear suspension,Comments,Ignition,Lubrication system,Clutch,Frame type,"Weight incl. oil, gas, etc",Starter,Top speed,Oil capacity,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Alternate seat height,Trail,Belt teeth,Belt width,Pulley teeth,Max RPM,Engine details,0-100 km/h (0-62 mph),1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Driveline,Fuel consumption,Greenhouse gases,Exhaust system,Wheels,Front percentage of weight,Rear percentage of weight,Modifications compared to previous model,Chain size,Chain links
Kymco Stryker 125,2003,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.6 HP (7.7  kW)) @ 8700 RPM,9.1 Nm (0.9 kgf-m or 6.7 ft.lbs) @ 6500 RPM,,,,,,,,142.0 kg (313.1 pounds),0.0746 HP/kg,"840 mm (33.1 inches) If adjustable, lowest setting.",,,14.00 litres (3.70 US gallons),,,,,,,,,,1347 mm (53.0 inches),,,Red/Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RM 125,2003,Cross / motocross," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",,,54.0 x 54.5 mm (2.1 x 2.1 inches),6-speed,Chain   (final drive),80/100-21 ,100/90-19 ,Single disc,Single disc,87.0 kg (191.8 pounds),,"940 mm (37.0 inches) If adjustable, lowest setting.",2145 mm (84.4 inches),840 mm (33.1 inches),8.00 litres (2.11 US gallons),8.9:1,,Carburettor,,Liquid,,,,,1450 mm (57.1 inches),,350 mm (13.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Jazz 250,2003,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",19.0 HP (13.9  kW)) @ 7000 RPM,20.6 Nm (2.1 kgf-m or 15.2 ft.lbs) @ 6000 RPM,72.7 x 60.0 mm (2.9 x 2.4 inches),Automatic,,110/90-13 ,130/70-12 ,Single disc,Single disc,163.0 kg (359.4 pounds),0.1166 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",2210 mm (87.0 inches),760 mm (29.9 inches),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHR Road King,2003,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 3100 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),,Belt   (final drive),,,,,345.0 kg (760.6 pounds),,"739 mm (29.1 inches) If adjustable, lowest setting.",2440 mm (96.1 inches),,18.80 litres (4.97 US gallons),8.8:1,,Carburettor,,Air,,,,,1592 mm (62.7 inches),,130 mm (5.1 inches),"Vivid black, gunmetal pearl, luxury rich red pearl, white pearl, luxury blue pearl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 900 S Diversion,2003,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",892.0 ccm (54.43 cubic inches),"In-line four, four-stroke",89.4 HP (65.3  kW)) @ 8250 RPM,83.4 Nm (8.5 kgf-m or 61.5 ft.lbs) @ 7000 RPM,,,,,,,,239.0 kg (526.9 pounds),0.3741 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",,,24.00 litres (6.34 US gallons),,,,Double Overhead Cams/Twin Cam (DOHC),,,,,,1505 mm (59.3 inches),,,"Silver, Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Tuono Racer 1000,2003,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",997.6 ccm (60.87 cubic inches),"V2, four-stroke",130.0 HP (94.9  kW)) @ 9500 RPM,101.0 Nm (10.3 kgf-m or 74.5 ft.lbs) @ 7250 RPM,,,,,,,,,,"820 mm (32.3 inches) If adjustable, lowest setting.",,,18.00 litres (4.76 US gallons),,,,,,,,,,1415 mm (55.7 inches),4.00 litres (1.06 US gallons),,Black/Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR-Z 400 E,2003,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 9000 RPM,41.0 Nm (4.2 kgf-m or 30.2 ft.lbs) @ 7500 RPM,90.0 x 62.6 mm (3.5 x 2.5 inches),5-speed,Chain   (final drive),80/100-21 ,110/100-18 ,Single disc,Single disc,119.0 kg (262.4 pounds),0.4034 HP/kg,"945 mm (37.2 inches) If adjustable, lowest setting.",2235 mm (88.0 inches),825 mm (32.5 inches),10.00 litres (2.64 US gallons),12.2:1,4,Carburettor,Double Overhead Cams/Twin Cam (DOHC),Liquid,,,,,1475 mm (58.1 inches),,325 mm (12.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 1500 Drifter Fi,2003,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1470.0 ccm (89.70 cubic inches),"V2, four-stroke",63.0 HP (46.0  kW)) @ 4700 RPM,113.1 Nm (11.5 kgf-m or 83.4 ft.lbs) @ 2800 RPM,,,,,,,,304.0 kg (670.2 pounds),0.2072 HP/kg,"730 mm (28.7 inches) If adjustable, lowest setting.",,,19.00 litres (5.02 US gallons),,,,,,,,,,1655 mm (65.2 inches),,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 350 Bullet Classic,2003,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)),,,,,,,,,163.0 kg (359.4 pounds),0.1104 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,,14.50 litres (3.83 US gallons),,,,,,,,,,1370 mm (53.9 inches),,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi GPR 50 R,2003,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",8.8 HP (6.4  kW)) @ 9000 RPM,,,,,,,,,105.0 kg (231.5 pounds),0.0838 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,7.25 litres (1.92 US gallons),,,,,,,,,,1315 mm (51.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 748,2003,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",97.0 HP (70.8  kW)) @ 11000 RPM,73.0 Nm (7.4 kgf-m or 53.8 ft.lbs) @ 9000 RPM,88.0 x 61.5 mm (3.5 x 2.4 inches),6-speed,Chain   (final drive),120/60-ZR17 ,180/55-ZR17 ,Double disc,Single disc,196.0 kg (432.1 pounds),0.4949 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",2030 mm (79.9 inches),,17.00 litres (4.49 US gallons),11.5:1,4,Injection,Desmodromic valve control,Liquid,127 mm (5.0 inches),130 mm (5.1 inches),220 mm (8.7 inches),1080 mm (42.5 inches),1410 mm (55.5 inches),4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW F 650 CS,2003,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,59.7 Nm (6.1 kgf-m or 44.0 ft.lbs) @ 5000 RPM,,5-speed,Belt   (final drive),110/70-ZR17 ,160/60-ZR17 ,Single disc. Two-piston calipers. ,Single disc. Single-piston caliper. ,193.0 kg (425.5 pounds),0.2591 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,650 mm (25.6 inches),17.30 litres (4.57 US gallons),11.5:1,4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,,,240 mm (9.4 inches),,1479 mm (58.2 inches),4.50 litres (1.19 US gallons),,"Orange, Blue",,"Telescopic fork, 41 mm",Steel swingarm with progressive shock linkage,,Electronic ignition integrated with fuel management,,,"Bridging, steel",,Electric,175.0 km/h (108.7 mph),2.50 litres (2.64 US quarts),SAE 15W-50,K&N KN-151,DOT 4,1.00 litres (0.26 US gallons),YB12AL-A,NGK D8EA,1350  +/- 100  RPM,28/82 (front/rear),28 PSI (1.9 Bar or 190 kPa),30 PSI (2.1 Bar or 210 kPa),41 mm (1.6 inches),,,,,,,,,,,,,,,,,,,,
Husaberg FC 550 - 4,2003,Cross / motocross," 2.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",555.0 ccm (33.87 cubic inches),"Single cylinder, four-stroke",,,100.0 x 70.7 mm (3.9 x 2.8 inches),4-speed,Chain   (final drive),80/100-21 ,110/100-19 ,Single disc,Single disc,103.9 kg (229.1 pounds),,"930 mm (36.6 inches) If adjustable, lowest setting.",,,9.00 litres (2.38 US gallons),,4,Carburettor,Overhead Cams (OHC),Liquid,295 mm (11.6 inches),320 mm (12.6 inches),220 mm (8.7 inches),,1490 mm (58.7 inches),,380 mm (15.0 inches),,,WP MXMA 4860-Husaberg Motocross,WP PDS 5018-Husaberg Motocross,,,,,"BTR 25CrMo4, heat-treated at +800° C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 500 Bullet Army,2003,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)),35.3 Nm (3.6 kgf-m or 26.0 ft.lbs),,,,,,,,168.0 kg (370.4 pounds),0.1310 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,,14.50 litres (3.83 US gallons),,,,,,,,,,1370 mm (53.9 inches),1.25 litres (0.33 US gallons),,Army Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki AN 650 Burgman,2003,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",638.0 ccm (38.93 cubic inches),"Twin, four-stroke",55.0 HP (40.1  kW)) @ 7000 RPM,62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 5000 RPM,75.5 x 71.3 mm (3.0 x 2.8 inches),,,120/70-15 ,160/60-14 ,Double disc,Single disc,238.0 kg (524.7 pounds),0.2311 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",2280 mm (89.8 inches),765 mm (30.1 inches),15.00 litres (3.96 US gallons),11.2:1,4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,,,,,1595 mm (62.8 inches),,135 mm (5.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX 6 R,2003,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",636.0 ccm (38.81 cubic inches),"In-line four, four-stroke",117.0 HP (85.4  kW)) @ 13000 RPM,67.1 Nm (6.8 kgf-m or 49.5 ft.lbs) @ 11000 RPM,,,,,,,,161.0 kg (354.9 pounds),0.7267 HP/kg,"825 mm (32.5 inches) If adjustable, lowest setting.",,,18.00 litres (4.76 US gallons),,,,Double Overhead Cams/Twin Cam (DOHC),,,,,,1400 mm (55.1 inches),,,"Green, Black, Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1150 RT,2003,Touring," 4.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1130.0 ccm (68.95 cubic inches),"Two cylinder boxer, four-stroke",95.0 HP (69.3  kW)) @ 7250 RPM,100.3 Nm (10.2 kgf-m or 74.0 ft.lbs) @ 5500 RPM,,,,,,,,279.0 kg (615.1 pounds),0.3405 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",,,25.00 litres (6.61 US gallons),,,,,,,,,,1485 mm (58.5 inches),4.00 litres (1.06 US gallons),,"Aqua, Silver, Blue, Red",,,,,,,,,,,,,,,,,,,,,,,,"845 mm (33.3 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,
Triumph Thunderbird Sport,2003,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",83.0 HP (60.6  kW)) @ 8500 RPM,76.0 Nm (7.7 kgf-m or 56.1 ft.lbs) @ 6500 RPM,76.0 x 65.0 mm (3.0 x 2.6 inches),6-speed,Chain   (final drive),110/70-R 17 ,160/70-R 17 ,Double disc,Single disc,224.0 kg (493.8 pounds),0.3705 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",2320 mm (91.3 inches),700 mm (27.6 inches),15.00 litres (3.96 US gallons),10.0:1,,Carburettor,Double Overhead Cams/Twin Cam (DOHC),Liquid,,,285 mm (11.2 inches),1105 mm (43.5 inches),1580 mm (62.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NX 650 Dominator,2003,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",41.0 HP (29.9  kW)) @ 6000 RPM,51.0 Nm (5.2 kgf-m or 37.6 ft.lbs) @ 5000 RPM,100.0 x 82.0 mm (3.9 x 3.2 inches),5-speed,Chain   (final drive),90/90-21 ,120/90-17 ,Single disc,Single disc,167.0 kg (368.2 pounds),0.2455 HP/kg,"880 mm (34.6 inches) If adjustable, lowest setting.",2200 mm (86.6 inches),903 mm (35.6 inches),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V11 Cafe Sport,2003,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",90.0 HP (65.7  kW)) @ 8200 RPM,94.1 Nm (9.6 kgf-m or 69.4 ft.lbs) @ 5400 RPM,,,,,,,,221.0 kg (487.2 pounds),0.4072 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,,20.70 litres (5.47 US gallons),,,,,,,,,,1490 mm (58.7 inches),5.00 litres (1.32 US gallons),,Bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHRCI Road King Classic,2003,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5200 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 3300 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),5-speed,Belt   (final drive),130/90-16 ,130/90-16 ,Double disc. Four-piston calipers. ,Single disc. Four-piston calipers. ,322.0 kg (709.9 pounds),0.2081 HP/kg,"729 mm (28.7 inches) If adjustable, lowest setting.",2440 mm (96.1 inches),,18.80 litres (4.97 US gallons),8.8:1,2,Injection,Overhead Valves (OHV),Air,,,292 mm (11.5 inches),,1592 mm (62.7 inches),,130 mm (5.1 inches),"2-tone sterling silver/vivid black, vivid black, gunmetal pearl, luxury rich red pearl, white pearl, luxury blue pearl",26.0°,Telescopic,Air-adjustable,Windscreen.,"Single-fire, non-wasted, map-controlled spark ignition","Dry sump. Internally mounted, crank driven gerotor pressure and dual scavenge pump.",,"Mild steel, rectangular section backbone. Twin down-tubes swing arm. ",345.0 kg (760.6 pounds),Electric,,3.80 litres (4.02 US quarts),SAE 20W-50,K & N - KN-171C,,,GYZ32HL,"NGK DCPR7E, DCPR7EIX",1000  RPM,,,,41 mm (1.6 inches),,157 mm (6.2 inches),139,1 1/2 in,32/70 (front/rear),,,,,,,,,,,,,,,
Ducati Monster 800 S i.e.,2003,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",803.0 ccm (49.00 cubic inches),"V2, four-stroke",73.0 HP (53.3  kW)) @ 8250 RPM,69.0 Nm (7.0 kgf-m or 50.9 ft.lbs) @ 6500 RPM,88.0 x 66.0 mm (3.5 x 2.6 inches),6-speed,Chain   (final drive),120/60-ZR17 ,160/60-ZR17 ,Double disc,Single disc,179.0 kg (394.6 pounds),0.4078 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",2100 mm (82.7 inches),,15.00 litres (3.96 US gallons),10.4:1,2,Injection,Desmodromic valve control,Air,130 mm (5.1 inches),148 mm (5.8 inches),245 mm (9.6 inches),795 mm (31.3 inches),1440 mm (56.7 inches),3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Navigator 1000,2003,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",,,,,,,,,,210.0 kg (463.0 pounds),,"800 mm (31.5 inches) If adjustable, lowest setting.",,,20.00 litres (5.28 US gallons),,,,,,,,,,1530 mm (60.2 inches),,,"Burgundy, Blue, Silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda SFX 50,2003,Scooter," 3.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",5.4 HP (3.9  kW)) @ 7000 RPM,5.8 Nm (0.6 kgf-m or 4.3 ft.lbs) @ 6500 RPM,39.0 x 41.4 mm (1.5 x 1.6 inches),Automatic,,100/80-10 ,100/80-10 ,Single disc,Expanding brake (drum brake),71.0 kg (156.5 pounds),0.0761 HP/kg,"755 mm (29.7 inches) If adjustable, lowest setting.",1720 mm (67.7 inches),635 mm (25.0 inches),6.00 litres (1.59 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FS 650 C,2003,Super motard," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",,,100.0 x 82.0 mm (3.9 x 3.2 inches),6-speed,Chain   (final drive),120/60-17 ,150/60-17 ,Single disc,Single disc,111.9 kg (246.7 pounds),,"870 mm (34.3 inches) If adjustable, lowest setting.",,,9.00 litres (2.38 US gallons),12.2:1,4,Carburettor,Overhead Cams (OHC),Liquid,260 mm (10.2 inches),287 mm (11.3 inches),220 mm (8.7 inches),,1490 mm (58.7 inches),,320 mm (12.6 inches),,,WP MXMA 4860-Husaberg Supermotard,WP PDS 5018-Husaberg Supermotard,,,,,"BTR 25CrMo4, heat-treated at +800° C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 640 LC4 Enduro,2003,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",625.0 ccm (38.14 cubic inches),"Single cylinder, four-stroke",54.8 HP (40.0  kW)) @ 7000 RPM,55.0 Nm (5.6 kgf-m or 40.6 ft.lbs) @ 5500 RPM,101.0 x 78.0 mm (4.0 x 3.1 inches),5-speed,Chain   (final drive),90/90-21 ,130/80-18 ,Single disc,Single disc,149.0 kg (328.5 pounds),0.3678 HP/kg,"925 mm (36.4 inches) If adjustable, lowest setting.",,,12.00 litres (3.17 US gallons),11.5:1,4,Carburettor,,Liquid,275 mm (10.8 inches),300 mm (11.8 inches),220 mm (8.7 inches),,1510 mm (59.4 inches),2.50 litres (0.66 US gallons),310 mm (12.2 inches),,,WP-USD 43 MA,WP - Monoshock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FS 650 E,2003,Super motard," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",,,100.0 x 82.0 mm (3.9 x 3.2 inches),6-speed,Chain   (final drive),120/60-17 ,150/60-17 ,Single disc,Single disc,113.1 kg (249.3 pounds),,"870 mm (34.3 inches) If adjustable, lowest setting.",,,9.00 litres (2.38 US gallons),12.2:1,4,Carburettor,Overhead Cams (OHC),Liquid,260 mm (10.2 inches),287 mm (11.3 inches),220 mm (8.7 inches),,1490 mm (58.7 inches),,320 mm (12.6 inches),,,WP MXMA 4860-Husaberg Supermotard,WP PDS 5018-Husaberg Supermotard,,,,,"BTR 25CrMo4, heat-treated at +800° C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 850 R Classic,2003,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,848.0 ccm (51.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,77.3 Nm (7.9 kgf-m or 57.0 ft.lbs) @ 5500 RPM,,,,,,,,235.0 kg (518.1 pounds),0.2979 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,,21.00 litres (5.55 US gallons),,,,,,,,,,1487 mm (58.5 inches),4.00 litres (1.06 US gallons),,"Black, white",,,,,,,,,,,,,,,,,,,,,,,,"800 mm (31.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,
Suzuki VL 800 Intruder Volusia,2003,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",52.0 HP (38.0  kW)) @ 6000 RPM,69.0 Nm (7.0 kgf-m or 50.9 ft.lbs) @ 3500 RPM,83.0 x 74.4 mm (3.3 x 2.9 inches),5-speed,Shaft drive (cardan)   (final drive),130/90-16 ,170/80-15 ,Single disc,Expanding brake (drum brake),239.0 kg (526.9 pounds),0.2176 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",2395 mm (94.3 inches),985 mm (38.8 inches),17.00 litres (4.49 US gallons),9.4:1,4,Carburettor,Single Overhead Cams (SOHC),Liquid,,,,,1655 mm (65.2 inches),,140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V11 Sport Naked,2003,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",90.0 HP (65.7  kW)) @ 7800 RPM,94.1 Nm (9.6 kgf-m or 69.4 ft.lbs) @ 6000 RPM,,,,,,,,221.0 kg (487.2 pounds),0.4072 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,,22.00 litres (5.81 US gallons),,,,,,,,,,1490 mm (58.7 inches),,,"Black, Light Green, Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph TT 600,2003,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",110.0 HP (80.3  kW)) @ 12750 RPM,68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 11000 RPM,68.0 x 41.3 mm (2.7 x 1.6 inches),6-speed,Chain   (final drive),120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,170.0 kg (374.8 pounds),0.6471 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",2060 mm (81.1 inches),690 mm (27.2 inches),18.00 litres (4.76 US gallons),12.5:1,,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,,,220 mm (8.7 inches),1150 mm (45.3 inches),1395 mm (54.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
