Model,Year,Category,Rating,Displacement,Engine type,Torque,Fuel system,Cooling system,Gearbox,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Overall height,Overall length,Overall width,Power,Top speed,Compression,Valves per cylinder,Fuel control,Transmission type,Frame type,Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Starter,Comments,Bore x stroke,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Rake (fork angle),"Weight incl. oil, gas, etc",Color options,Ignition,Trail,Front suspension,Rear suspension,Lubrication system,Diameter,Reserve fuel capacity,Modifications compared to previous model,Front wheel travel,Rear wheel travel,Engine details,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Sprockets,Belt teeth,Fork tube size,0-100 km/h (0-62 mph),Front percentage of weight,Rear percentage of weight,Coolant,Idle speed,Chain size,Chain links,Tire pressure front,Tire pressure rear,1/4 mile (0.4 km),Max RPM,Alternate seat height,Electrical,Belt width,Pulley teeth,Driveline,Wheels
Indian Dakota 4 Classic,2007,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1845.0 ccm (112.58 cubic inches),"In-line four, four-stroke",117.0 Nm (11.9 kgf-m or 86.3 ft.lbs),Injection. Multi-port sequential fuel-injection,Air,,130/90-16 ,170/80-15 ,Single disc,Expanding brake (drum brake),,,2510 mm (98.8 inches),,95.0 HP (69.3  kW)) @ 3800 RPM,,,2,Overhead Valves (OHV),,"Cradle, triple braced. Seamless tubular steel.",,,114 mm (4.5 inches),,,Electric,,,,7.40 litres/100 km (13.5 km/l or 31.79 mpg),171.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,340.2 kg (750.0 pounds),,,,Telescopic fork,Koni Dial-A-Ride.,,320 mm (12.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,
Honda CBR 150R,2007,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",149.4 ccm (9.12 cubic inches),"Single cylinder, four-stroke",,Carburettor,Liquid,6-speed,,,Single disc. 2-piston caliper,Single disc. 2-piston caliper,115.0 kg (253.5 pounds),,,652 mm (25.7 inches),17.0 HP (12.4  kW)),160.0 km/h (99.4 mph),11.0:1,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),Aluminum Frame,0.1478 HP/kg,"776 mm (30.6 inches) If adjustable, lowest setting.",172 mm (6.8 inches),,10.00 litres (2.64 US gallons),Electric,,63.5 x 47.2 mm (2.5 x 1.9 inches),Wet Multiple Disk,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Painted black steel pipe  and  chrome coated muffler,25.0°,,"Red/grey, black/grey, blue/grey.",CDI Direct System,88 mm (3.5 inches),Telescopic forks,Monoshock,Wet sump,220 mm (8.7 inches),,,109 mm (4.3 inches),120 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
ATK 450 MX,2007,Cross / motocross,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,446.0 ccm (27.21 cubic inches),"Single cylinder, four-stroke",,Injection. EFI Fuel Injection,,5-speed,80/100-21 ,110/100-19 ,"Single disc. Dual piston, 240mm Rotor","Single disc. Dual piston, 220mm Rotor",109.8 kg (242.0 pounds),,,,46.0 HP (33.6  kW)) @ 11500 RPM,,12.3:1,,,,Aluminum Twin-Spar,0.4191 HP/kg,"965 mm (38.0 inches) If adjustable, lowest setting.",361 mm (14.2 inches),1486 mm (58.5 inches),7.57 litres (2.00 US gallons),Electric,,96.5 x 61.0 mm (3.8 x 2.4 inches),Hydraulic,,,,,,,,,46mm Ohlins,Ohlins POS,,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell Firebolt XB12R,2007,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1202.9 ccm (73.40 cubic inches),"V2, four-stroke",113.9 Nm (11.6 kgf-m or 84.0 ft.lbs) @ 6000 RPM,Injection. 49 mm down draft DDFI II fuel injection,Oil & air,5-speed,120/70-ZR17 ,180/55-ZR17 ,Single disc,Single disc,179.2 kg (395.0 pounds),,1935 mm (76.2 inches),716 mm (28.2 inches),103.0 HP (75.2  kW)) @ 6800 RPM,,10.0:1,2,Overhead Valves (OHV),Belt   (final drive),"Aluminum frame with Uniplanar™ powertrain vibration isolation system, fuel in frame",0.5749 HP/kg,,110 mm (4.4 inches),1321 mm (52.0 inches),14.45 litres (3.82 US gallons),Electric,,,"Wet, multi-plate, compensated",,,"Tuned, tri-pass resonance chamber with InterActive valve and mass-centralized mounting",21.0°,,Midnight Black w/Translucent Red wheels,,84 mm (3.3 inches),"43 mm Showa inverted forks with adjustable compression damping, rebound damping and spring preload","Showa coil-over monoshock with remote, under-seat reservoir and adjustable compression damping, rebound damping and spring preload",Dry-sump,240 mm (9.4 inches),,,120 mm (4.7 inches),127 mm (5.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ1,2007,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",,Injection,Liquid,6-speed,120/70-ZR17 ,190/50-ZR17 ,Double disc,Single disc,198.7 kg (438.0 pounds),1204 mm (47.4 inches),2141 mm (84.3 inches),770 mm (30.3 inches),,,11.5:1,,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,,"815 mm (32.1 inches) If adjustable, lowest setting.",,1461 mm (57.5 inches),17.97 litres (4.75 US gallons),,,77.0 x 53.6 mm (3.0 x 2.1 inches),,,,,25.0°,,"Raven, Cobalt blue",Digital TCI,109 mm (4.3 inches),"43mm telescopic fork w/adjustable preload, compression and rebound damping",Single shock w/ piggyback reservoir,,245 mm (9.6 inches),,,130 mm (5.1 inches),130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z750 ABS,2007,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",78.0 Nm (8.0 kgf-m or 57.5 ft.lbs) @ 8300 RPM,Injection. Fuel injection: ø 32 mm x 4 (Keihin) with oval sub-throttles,Liquid,6-speed,120/70-17 ,180/55-17 ,Double disc. Dual semi-floating 300 mm petal discs Dual twin-piston,Single disc. Single-piston,203.0 kg (447.5 pounds),,,,104.2 HP (76.1  kW)) @ 10500 RPM,,11.3:1,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),"Tubular backbone (with engine sub-frame), high-tensile steel",0.5133 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",155 mm (6.1 inches),1440 mm (56.7 inches),18.50 litres (4.89 US gallons),Electric,,68.4 x 50.9 mm (2.7 x 2.0 inches),"Wet multi-disc, manual",,,,24.5°,,"Candy Lime Green, Ebony, Atomic Silver",Digital,103 mm (4.1 inches),41 mm inverted fork with rebound damping,Bottom-Link Uni-Trak with gas-charged shock Stepless 7-way,"Forced lubrication, wet sump",250 mm (9.8 inches),,,41 mm (1.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Breva V 1100,2007,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",86.5 Nm (8.8 kgf-m or 63.8 ft.lbs) @ 6000 RPM,Injection. Weber-Marelli electronic fuel injection with stepper motor control,Air,5-speed,110/90-VB18 ,140/70-VB17 ,Double disc,Single disc,230.9 kg (509.0 pounds),,,,,,9.8:1,,,,"Double cradle, in high tensile strenght tubular       steel",,,,1495 mm (58.9 inches),,Electric,,91.4 x 80.0 mm (3.6 x 3.2 inches),Dry,,,"Stainless steel, 2 in 1, with three way catalyser and Lambda probe",25.0°,,"Black, Red, Gray","Inductive discharge, digitally controlled, electronic twin spark ignition :",,"Upside down fork, fully adjustable in spring preload and","Single sided swingarm with rising rate linkages, monoshock with",Splash,282 mm (11.1 inches),,,120 mm (4.7 inches),110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs Eagle 125,2007,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,,Automatic,,,Single disc,Expanding brake (drum brake),111.0 kg (244.7 pounds),1122 mm (44.2 inches),1819 mm (71.6 inches),666 mm (26.2 inches),,78.0 km/h (48.5 mph),,,,Belt   (final drive),,,,,1290 mm (50.8 inches),6.50 litres (1.72 US gallons),,,,,,,,,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung GT125 Naked - GT125 Comet,2007,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"V2, four-stroke",9.7 Nm (1.0 kgf-m or 7.2 ft.lbs) @ 10000 RPM,Carburettor,Oil & air,5-speed,,,Double disc,Single disc,150.0 kg (330.7 pounds),,,,14.2 HP (10.4  kW)) @ 10500 RPM,,11.2:1,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,0.0947 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",,,17.00 litres (4.49 US gallons),Electric,,44.0 x 41.0 mm (1.7 x 1.6 inches),,,,,,,"Blue, black, yellow, red",,,,,,230 mm (9.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veli VL50QGY,2007,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",5.5 Nm (0.6 kgf-m or 4.1 ft.lbs) @ 6000 RPM,,Air,,,,,,,710 mm (28.0 inches),1360 mm (53.5 inches),480 mm (18.9 inches),4.3 HP (3.1  kW)) @ 8000 RPM,45.0 km/h (28.0 mph),,,,,,,,,,6.00 litres (1.59 US gallons),,,,,,,,,,,C.D.I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB Motors ZZ  14-12 inch wheels,2007,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,Carburettor.  Dell’Orto,,Automatic,2.50-14 ,3.00-12 ,Expanding brake (drum brake),Expanding brake (drum brake),42.0 kg (92.6 pounds),940 mm (37.0 inches),1455 mm (57.3 inches),300 mm (11.8 inches),2.5 HP (1.8  kW)) @ 7500 RPM,,9.5:1,,,,Single steel beam frame,0.0595 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",,957 mm (37.7 inches),4.20 litres (1.11 US gallons),Kick,,39.0 x 41.7 mm (1.5 x 1.6 inches),Automatic centrifugal light 2-shoe   oil batch clutch.,,,Racing-type with aluminium muffler,,,,Electronic,,Magnum 32mm hydraulic telescopic   fork,Mechanical shock absorber,EURO unleaded Nc 623-02 R.O.N. 95. Oil and premium grade gasoline - mixture at 2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Road Star,2007,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1671.6 ccm (102.00 cubic inches),"V2, four-stroke",,Carburettor.  40mm Mikuni CV w/throttle position sensor,Air,5-speed,130/90-16 ,150/80-16 ,Double disc,Single disc,312.1 kg (688.0 pounds),1140 mm (44.9 inches),2499 mm (98.4 inches),980 mm (38.6 inches),,,,,Overhead Valves (OHV),Belt   (final drive),,,"711 mm (28.0 inches) If adjustable, lowest setting.",,1689 mm (66.5 inches),20.06 litres (5.30 US gallons),Electric,,97.0 x 113.0 mm (3.8 x 4.4 inches),,,,,,,"Candy Red/Black Cherry Scallops, Metallic Silver/Liquid Silver Flames",Digital TCI,,43mm Telescopic fork,"Single shock, link-type",,,,,140 mm (5.5 inches),109 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati ST3 S ABS,2007,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",98.1 Nm (10.0 kgf-m or 72.4 ft.lbs) @ 10000 RPM,"Injection.  Marelli electronic fuel injection, 50mm throttle body ",Liquid,6-speed,120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,204.0 kg (449.7 pounds),,,,105.7 HP (77.1  kW)) @ 8750 RPM,,11.3:1,3,Desmodromic valve control,,Tubular steel trellis frame ,0.5180 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,1430 mm (56.3 inches),21.00 litres (5.55 US gallons),Electric,,94.0 x 71.5 mm (3.7 x 2.8 inches),Wet multiplate with hydraulic control ,,,2 aluminium mufflers with catalytic converter and lambda sensor ,,,"(red - red - black) (dark grey metallic - metallic grey - fluorescent red)(*black-black-grey) *Available in Japan only ,",,,Showa 43 mm fully adjustable upside-down fork with TiN ,Progressive linkage with fully adjustable Öhlins monoshock with remote control preload adjustement. Aluminium swingarm ,,245 mm (9.6 inches),,,130 mm (5.1 inches),148 mm (5.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartford HD-125S,2007,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.4 Nm (1.0 kgf-m or 6.9 ft.lbs) @ 7500 RPM,,Air,5-speed,2.75-18 ,3.50-16 ,Single disc,Single disc,110.0 kg (242.5 pounds),1010 mm (39.8 inches),1945 mm (76.6 inches),815 mm (32.1 inches),9.5 HP (6.9  kW)) @ 8200 RPM,,9.0:1,,,Chain   (final drive),,0.0864 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,1280 mm (50.4 inches),10.30 litres (2.72 US gallons),,,56.5 x 49.5 mm (2.2 x 1.9 inches),,,,,,,Black,CDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomberlin MadAss,2007,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.5 ccm (3.02 cubic inches),"Single cylinder, four-stroke",,Carburettor,Air,,90/90-R16 ,120/80-R16 ,Single disc,Single disc,85.0 kg (187.4 pounds),1011 mm (39.8 inches),1829 mm (72.0 inches),780 mm (30.7 inches),2.7 HP (2.0  kW)),,,,Overhead Valves (OHV),Chain   (final drive),,0.0318 HP/kg,,,1234 mm (48.6 inches),4.54 litres (1.20 US gallons),,,,,,,,,,,,,Telescopic fork,Swing arm,,,,,99 mm (3.9 inches),66 mm (2.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco 125 Supermotard,2007,Super motard,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,123.7 ccm (7.55 cubic inches),"Single cylinder, four-stroke",,Carburettor.  Mikuni VM 20,Air,5-speed,2.50-17 ,3.00-17 ,Expanding brake (drum brake). AJP,Expanding brake (drum brake). AJP,107.0 kg (235.9 pounds),,,,,,,,,,Chrome-molybdenum forming a single structure.,,"800 mm (31.5 inches) If adjustable, lowest setting.",280 mm (11.0 inches),1960 mm (77.2 inches),7.80 litres (2.06 US gallons),Electric & kick,Yamaha/Minarelli engine,,Multidisc in oil bath,,,Inox steel,,,Black/gray/red,CDI,,"Paioli 38mm dia hydraulic telescope fork, fully adjustable for preload and dampening.","Olle single shock absorber, adjustable in spring preload",Nikasil coated cylinder treatment,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confederate Wraith B 120,2007,Naked bike," 2.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1966.6 ccm (120.00 cubic inches),"V2, four-stroke",169.5 Nm (17.3 kgf-m or 125.0 ft.lbs),,,6-speed,120/60-17 ,280/55-17 ,Double disc. Bremo,Single disc. Bremo,186.0 kg (410.0 pounds),,,,130.0 HP (94.9  kW)),,,,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),Construction 3 load path bearing utilizing aircraft aluminum fuselage with CNC billet aircraft aluminum front and rear bulkheads; Engine as stressed member; Carbon backbone.,0.6990 HP/kg,,,,,Electric,Optional 5-speed gearbox,104.8 x 104.8 mm (4.1 x 4.1 inches),,,,,,,,,,"Penske coil over shock, fully adjustable",Penske coil over shock with cooling reservoir; multi adjustable,,280 mm (11.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank Sports Sporty 150,2007,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",,,Air,Automatic,120/70-12 ,130/60-12 ,Single disc,Single disc,94.8 kg (209.0 pounds),1041 mm (41.0 inches),1880 mm (74.0 inches),660 mm (26.0 inches),8.8 HP (6.5  kW)),,,,,,,0.0932 HP/kg,"787 mm (31.0 inches) If adjustable, lowest setting.",152 mm (6.0 inches),1308 mm (51.5 inches),,Electric & kick,,,,,,,,,"Black, Blue, Red, Yellow",CDI,,Twin,Twin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot Satelis 250 Premium,2007,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",244.3 ccm (14.91 cubic inches),"Single cylinder, four-stroke",,,Liquid,,120/70-14 ,140/60-13 ,Single disc,Single disc,161.0 kg (354.9 pounds),1425 mm (56.1 inches),2152 mm (84.7 inches),765 mm (30.1 inches),,,,,,,,,,,,13.20 litres (3.49 US gallons),Electric,,,,,,,,,,,,,,,226 mm (8.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM Racing SMX 530 F Competition,2007,Super motard," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",528.0 ccm (32.22 cubic inches),"Single cylinder, four-stroke",,Carburettor.  Keihin FCR 41mm,Liquid,5-speed,,,Single disc,Single disc,,,,,,,,,Double Overhead Cams/Twin Cam (DOHC),,Cr-Mo steel Perimetral oval section,,,,,8.00 litres (2.11 US gallons),Electric & kick,,98.0 x 70.0 mm (3.9 x 2.8 inches),Multiuple-disk in oil-bath with hydaulic control,,,,,,,Kokusan CDI Electronic with variable advance,,,,Dry sump with double rotor pump,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vespa GTS250 i.e ABS,2007,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",244.0 ccm (14.89 cubic inches),"Single cylinder, four-stroke",,,Liquid,Automatic,120/70-12 ,130/70-12 ,Single disc,Single disc,148.0 kg (326.3 pounds),,,,,,,,,,,,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,Electric,,,,,,,,,"Silver, Black, Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeway RX3,2007,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.8 ccm (3.04 cubic inches),"Single cylinder, four-stroke",,Carburettor,Liquid,6-speed,120/90-18 ,130/90-15 ,Single disc,Single disc,175.0 kg (385.8 pounds),1260 mm (49.6 inches),2130 mm (83.9 inches),868 mm (34.2 inches),,135.0 km/h (83.9 mph),,,Overhead Cams (OHC),Chain   (final drive),Steel tubes with alluminium swing-armi brake pedal and rear body,,"795 mm (31.3 inches) If adjustable, lowest setting.",210 mm (8.3 inches),1400 mm (55.1 inches),16.00 litres (4.23 US gallons),Electric & kick,,,Wet clutch,,,Expansion with silencer,,,Red,Electronics with micro prossesor,,Inverted front forks,Monoshock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wire spoked
Piaggio X8 400,2007,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Single cylinder, four-stroke",37.6 Nm (3.8 kgf-m or 27.7 ft.lbs) @ 5500 RPM,Injection,Liquid,Automatic,120/70-14 ,130/70-12 ,Double disc,Single disc,,,2184 mm (86.0 inches),700 mm (27.6 inches),,,,4,,Belt   (final drive),,,"790 mm (31.1 inches) If adjustable, lowest setting.",,1540 mm (60.6 inches),12.00 litres (3.17 US gallons),Electric,,85.8 x 69.0 mm (3.4 x 2.7 inches),Automatic centrifuge type,,,,,198.0 kg (436.5 pounds),,Inductive,,Ø 35 mm tele-hydraulic fork,Two dual-effect shock absorbers and four-position spring preload,Separate with automatic mixer,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson VRSCR Street Rod,2007,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1247.0 ccm (76.09 cubic inches),"V2, four-stroke",108.5 Nm (11.1 kgf-m or 80.0 ft.lbs) @ 7000 RPM,Injection. Electronic Sequential Port Fuel Injection (ESPFI),Liquid,5-speed,120/70-ZR19 ,180/55-ZR18 ,Single disc. 4-piston,Single disc. 4-piston,280.3 kg (618.0 pounds),,2380 mm (93.7 inches),,,,11.3:1,,,Belt   (final drive),,,"787 mm (31.0 inches) If adjustable, lowest setting.",170 mm (6.7 inches),1697 mm (66.8 inches),18.92 litres (5.00 US gallons),Electric,Revolution engine.,104.9 x 72.1 mm (4.1 x 2.8 inches),Multi-plate with diaphragm spring in oil bath,4.93 litres/100 km (20.3 km/l or 47.71 mpg),114.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Chrome, straight-shot dual pipes",30.0°,297.1 kg (655.0 pounds),"Vivid black, deep cobalt pearl, Pacific blue denim (new), mirage orange pearl, pewter denim (new)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung GV125 Aquila - GV125 Cruiser,2007,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"V2, four-stroke",10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 10000 RPM,,Oil & air,6-speed,,,Single disc,Expanding brake (drum brake),157.0 kg (346.1 pounds),1070 mm (42.1 inches),2200 mm (86.6 inches),800 mm (31.5 inches),14.8 HP (10.8  kW)) @ 10500 RPM,,11.2:1,,Double Overhead Cams/Twin Cam (DOHC),,,0.0939 HP/kg,"665 mm (26.2 inches) If adjustable, lowest setting.",,,14.00 litres (3.70 US gallons),Electric,,44.0 x 41.0 mm (1.7 x 1.6 inches),,,,,,,"Red/black, silver/black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veli VL50QT-9,2007,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.5 ccm (3.02 cubic inches),"Single cylinder, four-stroke",3.0 Nm (0.3 kgf-m or 2.2 ft.lbs) @ 6000 RPM,,Air,,120/70-12 ,120/70-12 ,Single disc,Expanding brake (drum brake),150.0 kg (330.7 pounds),1290 mm (50.8 inches),1880 mm (74.0 inches),690 mm (27.2 inches),3.2 HP (2.3  kW)) @ 7500 RPM,50.0 km/h (31.1 mph),9.1:1,,,,,0.0214 HP/kg,,,1280 mm (50.4 inches),,Electric & kick,,,,2.00 litres/100 km (50.0 km/l or 117.61 mpg),46.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,CDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CRF 100 F,2007,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",99.0 ccm (6.04 cubic inches),"Single cylinder, four-stroke",,,Air,5-speed,70/100-19 ,90/90-16 ,Expanding brake (drum brake),Expanding brake (drum brake),74.8 kg (165.0 pounds),,,,,,9.4:1,,Single Overhead Cams (SOHC),Chain   (final drive),,,"785 mm (30.9 inches) If adjustable, lowest setting.",254 mm (10.0 inches),1250 mm (49.2 inches),5.67 litres (1.50 US gallons),,Model ID: CRF100F,53.0 x 45.0 mm (2.1 x 1.8 inches),,,,,28.5°,,Red,CD,99 mm (3.9 inches),27.0mm leading-axle Showa fork,Pro-Link Showa single shock,,,,,132 mm (5.2 inches),147 mm (5.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa-CZ 650 Dakar,2007,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",651.9 ccm (39.78 cubic inches),"Single cylinder, four-stroke",57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5000 RPM,Carburettor,Liquid,5-speed,110/90-19 ,140/80-17 ,Double disc,Single disc,195.0 kg (429.9 pounds),,,,46.3 HP (33.8  kW)) @ 5250 RPM,165.0 km/h (102.5 mph),9.7:1,,,Chain   (final drive),,0.2372 HP/kg,"860 mm (33.9 inches) If adjustable, lowest setting.",,1518 mm (59.8 inches),13.50 litres (3.57 US gallons),Kick,,100.0 x 83.0 mm (3.9 x 3.3 inches),,,,,,,Silver,,,Telescopic forks,Teleskopic units,,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
